set_num,review_score
122005-1,80.0
122006-1,80.0
122009-1,80.0
122-1,76.0
123-1,71.0
1237-1,79.0
1239-1,90.0
124-1,71.0
1246-1,52.0
1247-1,67.0
1248-1,60.0
1249-1,80.0
1250-1,48.0
125-1,73.0
1251-1,54.0
125-2,78.0
1252-1,78.0
1253-1,70.0
1254-1,86.0
1255-1,84.0
1256-1,85.0
1257-1,66.0
1258-1,58.0
1259-1,69.0
1260-1,68.0
126-1,76.0
1261-1,45.0
1263-1,65.0
1264-1,61.0
1265-1,41.0
1266-1,63.0
1268-1,71.0
1269-1,70.0
127-1,72.0
1271-1,74.0
1272-1,50.0
1273-1,52.0
1274-1,56.0
1275-1,50.0
1276-1,57.0
1277-1,57.0
1278-1,54.0
1279-1,42.0
1280-1,48.0
128-1,65.0
1281-1,50.0
128-2,69.0
1282-1,55.0
1283-1,55.0
1284-1,44.0
1285-1,55.0
1286-1,62.0
1287-1,63.0
1288-1,60.0
1289-1,62.0
1290-1,40.0
1291-1,30.0
1292-1,60.0
1293-1,30.0
1294-1,48.0
1295-1,57.0
1296-1,67.0
1297-1,60.0
1298-1,75.0
1-3,78.0
130-1,72.0
131-1,76.0
132-1,73.0
132-2,76.0
133-1,83.0
134-1,73.0
134-2,65.0
1349-1,77.0
135-1,83.0
1351-1,57.0
1352-1,74.0
1353-1,59.0
1354-1,73.0
1355-1,64.0
1356-1,61.0
1357-1,67.0
1360-1,56.0
136-1,78.0
1361-1,48.0
1362-1,61.0
1363-1,58.0
1370-1,74.0
137-1,74.0
1371-1,78.0
137-2,83.0
1374-1,69.0
1375-1,41.0
1376-1,71.0
1380-1,79.0
138-1,88.0
1381-1,82.0
1382-1,88.0
1383-1,85.0
1384-1,70.0
1385-1,58.0
1386-1,60.0
1388-1,72.0
1389-1,79.0
1390-1,73.0
139-1,82.0
1391-1,76.0
1392-1,84.0
1393-1,67.0
140-2,75.0
1403-1,70.0
1404-1,53.0
1406-1,57.0
1407-1,55.0
1408-1,55.0
1411-1,80.0
1413-1,80.0
1415-1,65.0
1416-1,60.0
1417-1,35.0
1418-1,50.0
1419-1,50.0
1420-1,50.0
1421-1,45.0
1422-1,45.0
1425-1,55.0
1427-1,50.0
1428-1,57.0
1429-1,60.0
1430-1,60.0
1431-1,55.0
1432-1,55.0
1433-1,55.0
1434-1,50.0
1435-1,50.0
1441-1,86.0
145-1,78.0
146-1,74.0
1461-1,61.0
1462-1,68.0
1463-1,70.0
1464-1,59.0
1467-1,47.0
1468-1,52.0
1469-1,33.0
1470-1,37.0
147-1,75.0
1472-1,82.0
1475-1,90.0
1477-1,70.0
1478-1,68.0
1479-1,65.0
1480-1,67.0
148-1,64.0
1481-1,60.0
1484-1,89.0
1489-1,87.0
1490-1,85.0
149-1,83.0
1491-1,76.0
1492-1,70.0
1496-1,76.0
1497-1,79.0
1498-1,75.0
1499-1,72.0
150-1,59.0
1506-1,80.0
1507-1,72.0
1509-1,80.0
1510-1,76.0
151-1,59.0
1514-1,60.0
1515-1,80.0
1517-1,72.0
1518-1,84.0
152-1,60.0
1524-1,55.0
1525-1,85.0
1526-1,63.0
1528-1,62.0
153-1,60.0
1540-1,70.0
154-1,67.0
1544-1,67.0
1545-1,60.0
1547-1,75.0
1548-1,84.0
1549-1,70.0
1550-1,58.0
155-1,65.0
1551-1,70.0
1551-2,75.0
1552-1,91.0
1552-2,80.0
1554-1,75.0
1555-1,79.0
1555-2,75.0
1557-1,65.0
1558-1,74.0
1559-1,60.0
1560-1,54.0
1560-2,85.0
1560-3,62.0
156-1,80.0
1561-1,61.0
1561-2,70.0
156-2,62.0
1562-1,68.0
1562-2,40.0
1562-3,80.0
1563-1,59.0
157-1,65.0
157-2,70.0
1572-1,83.0
1575-1,77.0
1577-1,70.0
1580-1,84.0
1580-2,75.0
158-1,70.0
1581-1,70.0
1581-2,83.0
1584-1,82.0
1588-1,57.0
1589-1,89.0
1589-2,75.0
1590-2,82.0
159-1,64.0
1591-1,85.0
1592-1,87.0
1593-1,72.0
1596-1,75.0
1597-1,74.0
1598-1,40.0
160-1,80.0
1601-1,73.0
1602-1,65.0
1603-1,58.0
1606-1,44.0
1607-1,40.0
1610-1,56.0
1610-2,77.0
161-1,70.0
1611-1,47.0
1611-2,70.0
1612-1,72.0
1613-1,72.0
1616-1,70.0
1617-1,50.0
1620-1,58.0
1620-2,84.0
162-1,82.0
1621-1,65.0
1624-1,63.0
1625-1,79.0
1626-1,79.0
1627-1,54.0
1628-1,46.0
1630-1,64.0
163-1,73.0
1631-1,65.0
1632-1,68.0
1633-1,60.0
1636-1,60.0
1637-1,60.0
1638-1,62.0
1640-1,62.0
164-1,88.0
1641-1,40.0
1642-1,58.0
1643-1,55.0
1644-1,55.0
1645-1,50.0
1646-1,47.0
1647-1,55.0
1648-1,57.0
1649-1,60.0
1650-1,88.0
165-1,84.0
1651-2,86.0
1652-1,86.0
1655-1,80.0
1656-1,82.0
1656-2,73.0
1658-1,83.0
1660-1,60.0
166-1,82.0
1662-1,55.0
1665-1,71.0
1666-1,67.0
1668-1,50.0
1670-1,50.0
167-1,84.0
1675-1,78.0
1676-1,50.0
1677-1,66.0
1678-1,50.0
1679-1,52.0
1680-1,86.0
1682-1,77.0
1687-1,84.0
1688-1,60.0
1690-1,60.0
1693-1,57.0
1694-1,70.0
1695-1,62.0
1696-1,64.0
1698-1,75.0
1-7,60.0
170-1,66.0
1702-1,67.0
1704-1,72.0
1710-1,73.0
17101-1,81.0
171-1,72.0
1711-1,75.0
1712-1,65.0
1713-1,61.0
1714-1,76.0
1715-1,68.0
1720-1,84.0
1721-1,79.0
1722-1,73.0
1723-1,77.0
1728-1,72.0
1729-1,68.0
1730-1,72.0
1731-1,56.0
1732-1,71.0
1733-1,72.0
1736-1,68.0
1737-1,74.0
1740-1,45.0
1742-1,70.0
1743-1,53.0
1746-1,56.0
1747-1,59.0
1749-1,67.0
1750-1,70.0
1752-1,62.0
1756-1,62.0
1760-1,52.0
1761-1,64.0
1762-1,51.0
1769-1,33.0
1772-1,83.0
1773-1,82.0
1774-1,84.0
1775-1,90.0
1776-1,68.0
1778-1,40.0
1782-1,77.0
1785-1,73.0
1786-1,85.0
1787-1,71.0
1788-1,77.0
1789-1,85.0
1790-1,65.0
1791-1,77.0
1792-1,74.0
1793-1,76.0
1794-1,62.0
