set_num,value
271610-1,2.43
271611-1,2.41
271713-1,2.0
271714-1,2.93
271716-1,3.88
271718-1,2.41
271720-1,2.84
271721-1,1.74
271722-1,3.44
271723-1,1.55
271824-1,2.23
271825-1,3.26
271826-1,3.09
271827-1,2.72
271828-1,3.48
271829-1,2.69
271831-1,3.86
271832-1,3.14
272-1,15.49
2728,6.94
2729-1,10.43
2742,5.2
2744,3.1
275-1,23.24
2757-1,5.2
2759,4.32
2769,34.99
2829-1,51.88
2847,6.17
2849,3.09
2853300,442.51
4591726,88.51
2870,3.01
2879,151.36
2880-1,3.85
2884,10.79
2885,3.09
2887-1,3.46
2912-1,38.56
2925-1,107.79
293-1,60.82
2937,27.7
294-1,20.51
2963,9.94
297-1,38.57
30001-1,4.76
30002-1,5.1
30003-1,3.87
30004-1,10.38
30005-1,11.24
30008-1,5.17
30009-1,5.19
30010-1,4.31
30011-1,6.83
30014-1,2.59
30017-1,4.31
30019-1,4.54
30021-1,4.07
30023-1,8.49
30024-1,4.31
30025-1,7.64
30026-1,11.57
30027-1,26.95
30029-1,5.62
30031-1,4.97
30035-1,5.1
30041-1,7.27
30042-1,6.56
30056-1,6.17
30057-1,8.84
30061-1,15.38
30068-1,2.68
30070-1,15.12
30071-1,24.85
30072-1,25.39
30080-1,8.56
4644242,8.65
30082-1,3.46
30083-1,6.54
30085-1,3.63
30086-1,4.47
30090-1,5.1
30102-1,5.05
30103-1,7.36
30106-1,6.9
30107-1,7.62
30108-1,4.32
30110-1,10.36
30111-1,8.65
30113-1,4.63
30114-1,4.61
30115-1,4.74
30116-1,5.17
3012,24.84
30121-1,2.59
30130-1,32.13
30131-1,26.16
30140-1,6.56
30151-1,5.29
30152-1,6.56
30161-1,8.82
30162-1,5.1
30163-1,10.38
30164-1,25.87
30165-1,6.05
30166-1,22.77
30167-1,25.3
30182-1,10.89
30183-1,3.81
30187-1,6.13
30188-1,3.84
30189-1,3.03
30190-1,11.71
30191-1,7.71
30192-1,4.09
30193-1,3.18
30194-1,3.73
30195-1,3.86
30197-1,42.99
30200-1,11.22
302001-1,5.49
302002-1,5.63
302003-1,5.38
302004-1,4.39
302005-1,10.23
302006-1,4.8
302007-1,10.23
30201-1,27.72
30202-1,7.09
30203-1,5.59
30204-1,7.71
30205-1,3.14
302-1,30.86
30210-1,9.22
30211-1,12.11
30212-1,46.18
30213-1,13.84
30215-1,10.38
30216-1,18.97
30218-1,6.91
30220-1,7.68
30221-1,6.32
30222-1,4.32
30227-1,2.42
30228-1,3.46
30229-1,3.96
30230-1,7.59
30240-1,3.46
30241-1,11.55
30242-1,9.86
30243-1,7.59
30244-1,4.15
30246-1,4.32
30247-1,5.19
30250-1,4.97
30251-1,3.08
30252-1,4.97
30253-1,5.69
30254-1,4.91
30255-1,8.22
30256-1,19.87
30259-1,6.42
30260-1,4.31
30261-1,11.38
30262-1,7.31
30264-1,4.63
30265-1,3.96
30266-1,8.67
30270-1,4.97
6077746,6.9
30272-1,8.85
30274-1,4.9
30275-1,4.51
30276-1,5.54
30277-1,7.55
30278-1,6.05
30279-1,5.18
30280-1,5.96
30281-1,6.04
30282-1,3.63
30283-1,2.42
30284-1,4.32
30285-1,2.78
6108406,9.95
30291-1,5.62
30293-1,4.97
30300-1,7.78
30301-1,6.49
30302-1,5.19
30303-1,4.32
30304-1,8.65
30305-1,6.17
30311-1,2.59
30312-1,5.88
30313-1,5.06
30314-1,9.38
30315-1,6.64
30320-1,22.85
30321-1,6.04
30323-1,4.75
30325-1,6.9
30326-1,10.69
30327-1,2.85
30329-1,5.38
30330-1,3.07
30331-1,6.09
30332-1,6.09
30338-1,4.97
30339-1,4.24
30340-1,3.58
30341-1,7.7
30342-1,5.08
30343-1,10.62
30346-1,4.31
30347-1,5.55
30348-1,5.36
30349-1,4.62
30350-1,10.11
30351-1,4.47
30352-1,4.72
30353-1,7.9
30354-1,5.19
6176919,5.54
30356-1,12.96
30357-1,4.14
30358-1,2.53
30359-1,6.17
30361-1,2.77
30362-1,5.4
30363-1,4.83
30364-1,6.92
30365-1,3.82
30366-1,4.48
30367-1,4.46
30368-1,3.61
30369-1,4.46
30371-1,3.18
30372-1,3.79
30373-1,4.83
30374-1,3.01
30375-1,27.0
30376-1,5.96
30377-1,4.21
30378-1,3.48
30380-1,3.78
30381-1,6.18
30382-1,5.45
30383-1,5.38
30384-1,4.61
30386-1,6.07
30393-1,8.84
30394-1,5.38
6138521,6.89
30397-1,6.49
30398-1,4.12
30399-1,7.71
30400-1,3.2
30401-1,3.8
30402-1,3.38
30403-1,3.2
30404-1,4.15
30405-1,4.21
30406-1,4.11
30407-1,5.94
30408-1,5.24
30409-1,4.6
30410-1,3.8
30412-1,4.97
30420-1,4.99
30421-1,5.17
30422-1,4.97
30426-1,12.0
30427-1,6.05
30428-1,4.99
6138541,7.37
30447-1,15.64
6142257,20.39
30449-1,5.96
6214757,5.92
30451-1,7.13
30452-1,5.38
30453-1,6.32
30460-1,5.52
30461-1,6.29
30463-1,6.93
30464-1,4.61
30465-1,6.09
30471-1,4.98
30472-1,2.55
30473-1,6.82
30474-1,16.94
30475-1,9.54
30476-1,4.55
30477-1,4.92
30478-1,7.7
30496-1,5.99
30497-1,7.59
30498-1,5.06
305-1,61.72
30521-1,6.32
30522-1,4.78
30523-1,5.69
30524-1,1.71
30525-1,7.45
30526-1,11.34
30527-1,4.24
30528-1,3.81
30529-1,3.98
30530-1,5.62
30531-1,8.22
30532-1,7.08
30533-1,3.91
30534-1,7.95
6253228,4.71
30536-1,4.3
30537-1,5.46
30540-1,9.54
30542-1,6.16
30545-1,3.98
30546-1,4.43
30547-1,5.98
30550-1,3.78
3055,17.3
30551-1,12.64
30552-1,11.12
30553-1,4.87
30554-1,4.07
30555-1,4.88
30556-1,3.83
30566-1,6.09
30568-1,6.09
30571-1,5.05
30572-1,5.37
