set_num,value
70331-1,13.84
70332-1,10.27
70333-1,10.83
70334-1,8.43
70335-1,9.01
70336-1,9.17
70338-1,10.76
70339-1,7.69
70347-1,12.98
7035-1,80.77
70351-1,73.48
70352-1,155.43
70353-1,12.3
70354-1,95.28
70355-1,38.47
70356-1,229.4
70358-1,23.08
70359-1,15.38
7036-1,137.01
70363-1,12.0
70364-1,30.78
70366-1,9.27
7037-1,30.78
70372-1,1.32
70373-1,2.31
7038-1,36.95
70400-1,50.8
7040-1,135.49
70403-1,115.75
70412-1,86.09
70413-1,285.83
70418-1,23.09
70419-1,30.0
6250494,30.79
70421-1,60.0
6250499,57.15
70423-1,69.86
70424-1,100.08
70425-1,136.52
6288870,27.0
70428-1,18.0
70429-1,25.0
70430-1,37.18
7043-1,16.17
70431-1,94.99
70432-1,55.0
70433-1,31.4
70434-1,49.94
70435-1,65.62
70436-1,86.74
70437-1,210.51
7044-1,43.29
7045-1,40.02
7047-1,76.97
7048-1,207.85
7049-1,8.0
70500-1,15.0
7050-1,10.64
70502-1,23.09
70505-1,57.02
7051-1,30.0
70588-1,29.78
70590-1,84.66
70591-1,24.24
70592-1,41.39
70593-1,107.77
70594-1,150.0
70596-1,209.68
70599-1,14.49
70600-1,30.89
70601-1,23.02
70602-1,82.78
70603-1,62.53
70606-1,10.0
70608-1,44.65
70609-1,46.17
70610-1,48.85
70612-1,106.23
70613-1,84.68
70614-1,88.17
70615-1,76.98
70617-1,181.68
70618-1,306.39
6136324,894.48
70621-1,17.77
70625-1,72.36
70626-1,192.45
70627-1,267.69
70629-1,23.17
70631-1,103.62
70632-1,146.25
6212712,10.7
70634-1,11.43
70635-1,17.29
70636-1,11.76
70637-1,13.79
70638-1,26.9
70640-1,72.35
70643-1,285.83
6212737,9.21
70646-1,25.64
70647-1,23.46
70648-1,19.49
70650-1,31.87
70651-1,38.49
70652-1,56.73
70653-1,22.23
70654-1,30.78
70655-1,61.57
70656-1,176.35
70657-1,461.87
70660-1,13.84
7066-1,190.55
70662-1,10.78
70664-1,41.34
70665-1,15.38
70666-1,28.58
70668-1,44.26
70669-1,114.33
70670-1,130.85
7067-1,44.26
70671-1,18.31
70672-1,24.12
70673-1,38.47
70674-1,57.96
70675-1,58.0
70676-1,107.76
70677-1,193.99
70678-1,129.0
70679-1,183.22
70680-1,11.25
70681-1,12.22
70682-1,13.84
70683-1,17.1
70684-1,29.43
6288894,12.21
70686-1,12.21
70687-1,12.21
70700-1,14.75
7070-1,9.15
70701-1,21.0
70702-1,20.34
70704-1,90.87
70705-1,92.38
70706-1,38.27
70707-1,101.63
70708-1,82.57
70709-1,101.63
6060908,20.0
7072-1,65.78
70721-1,114.32
70722-1,25.0
70723-1,55.0
70727-1,71.14
70728-1,382.72
70734-1,62.09
70735-1,46.19
70736-1,207.24
70738-1,200.0
70739-1,12.98
70741-1,20.0
70742-1,12.55
70744-1,20.0
6099857,30.0
70746-1,60.59
70748-1,46.19
70749-1,70.82
70750-1,123.17
7075-1,306.39
70751-1,447.24
70752-1,22.32
70753-1,50.8
70754-1,23.09
70755-1,24.37
70778-1,20.26
70779-1,18.53
70780-1,12.06
7078-1,46.19
70781-1,19.83
70782-1,17.72
70783-1,13.91
70784-1,36.27
70785-1,28.87
70786-1,34.3
70787-1,27.88
70788-1,31.76
70789-1,21.56
7079-1,152.46
70791-1,35.18
70792-1,18.64
70793-1,15.18
70794-1,13.91
7080-1,13.84
70801-1,15.24
70802-1,21.25
70803-1,22.0
70804-1,46.17
70805-1,26.56
70806-1,25.0
70807-1,80.0
70808-1,38.11
70809-1,22.32
70810-1,280.11
70811-1,46.88
70812-1,47.71
6061155,107.98
70820-1,35.42
7082-1,20.0
70821-1,17.79
70822-1,7.7
70823-1,12.06
70824-1,8.0
70825-1,32.87
70826-1,25.39
70828-1,75.0
70829-1,58.37
70830-1,88.86
70832-1,35.0
70833-1,31.1
70834-1,69.8
70835-1,30.78
70836-1,24.48
70838-1,86.54
70839-1,271.74
70840-1,733.99
70841-1,13.7
70842-1,35.89
70847-1,31.14
70848-1,31.75
70849-1,40.0
70900-1,14.63
7090-1,20.7
70901-1,38.1
70902-1,22.63
70903-1,36.57
70904-1,25.41
70905-1,91.61
70907-1,46.17
70908-1,93.9
70909-1,145.0
70910-1,31.69
70911-1,53.89
70912-1,307.82
70913-1,27.7
70914-1,69.28
70915-1,84.68
70916-1,107.77
70917-1,123.16
70918-1,38.05
70919-1,45.71
70920-1,38.11
7092-1,115.47
70921-1,31.76
6210225,734.77
70923-1,135.79
7093-1,130.04
7094-1,615.85
7097-1,224.79
71000-12,6.82
71000-15,15.56
71000-16,10.16
71000-8,7.88
71000-9,19.12
71001-1,19.91
71001-13,3.89
71001-14,15.13
71001-7,34.98
71001-9,6.92
71006-1,500.38
7101-1,50.0
7103-1,50.0
71040-1,499.65
7104-1,20.0
71042-1,365.74
6212630,523.16
71044-1,461.87
7106,69.28
7110-1,43.29
7111-1,25.41
7113-1,30.79
7116-1,9.93
71170-1,6.08
7117-1,10.12
7119-1,12.7
71201-1,76.97
71202-1,15.75
71209-1,18.14
7121-1,27.71
71212-1,6.35
6107322,7.62
71215-1,38.08
71216-1,12.47
71217-1,15.4
71218-1,8.59
71219-1,11.55
71220-1,7.7
71221-1,38.08
71222-1,15.0
71223-1,8.88
71227-1,8.5
71228-1,43.29
71230-1,30.79
71231-1,6.35
6133205,103.86
71234-1,22.23
71238-1,17.31
71240-1,11.08
7124,19.06
6133755,103.86
71245-1,76.97
71248-1,9.5
71257-1,6.04
7126-1,53.89
71266-1,18.11
7127,31.76
7128-1,34.62
71285-1,23.08
71300-1,43.96
7130-1,61.25
71301-1,51.05
71303-1,67.51
71306-1,61.78
71308-1,64.37
7131-1,22.32
71312-1,152.42
6164298,49.72
7134,19.04
71342-1,17.29
71344-1,29.54
71346-1,9.87
71349-1,46.17
7135-1,12.36
71360-1,65.43
6288929,19.08
7137-1,6.35
71371-1,11.84
71372-1,11.84
71373-1,11.84
71374-1,308.69
7138-1,11.58
6332709,11.84
71385-1,11.84
7139-1,41.57
7141,30.0
7143-1,45.0
7145-1,13.86
7146,53.89
7151-1,36.95
7155-1,207.85
7157-1,17.17
7158-1,38.11
7159,151.17
7161-1,76.98
7162-1,24.63
7164-1,13.5
7166,337.18
7167-1,8.15
7169-1,6.54
71699-1,92.38
71700-1,11.55
71701-1,32.0
71702-1,56.99
71703-1,36.07
71704-1,62.75
71705-1,165.85
71706-1,11.14
71707-1,20.0
71708-1,41.0
6288959,48.32
71710-1,49.56
7171,374.75
71711-1,61.97
71712-1,95.0
71714-1,11.47
71715-1,11.47
6288971,17.75
71717-1,30.07
71718-1,30.78
71719-1,61.97
71720-1,88.92
71721-1,99.12
71722-1,175.0
7173-1,6.93
71735-1,36.07
71736-1,49.56
71737-1,61.97
71738-1,76.55
71742-1,38.57
7177-1,6.93
7180-1,61.58
7186,299.7
7188-1,115.47
7189-1,436.99
7190-1,144.04
7194-1,400.0
7195-1,88.29
7196-1,69.86
7197-1,166.28
7198-1,146.27
7200-1,77.9
72001-1,38.47
72002-1,46.17
72003-1,60.05
72005-1,90.84
7201-1,86.54
7203-1,24.63
7206-1,17.32
7207-1,37.74
7208-1,52.08
7238-1,9.24
7239-1,4.56
7240-1,46.34
7241-1,4.62
7243-1,114.32
7246-1,4.62
7249-1,69.28
7250-1,17.31
7251-1,38.11
7252-1,27.71
7255-1,38.11
7257-1,139.74
7258-1,91.46
7262-1,83.61
7263-1,51.93
7264-1,380.84
7279-1,4.14
7285-1,6.65
7286-1,10.16
7287-1,20.79
7288-1,40.0
7291-1,26.1
7292-1,19.06
7294-1,60.59
7295-1,121.63
7296-1,33.87
7298-1,129.83
7305-1,6.16
7307-1,56.26
7308-1,17.43
7309-1,13.33
7310-1,7.21
7311,7.49
7313,19.25
7314,30.89
7315,35.41
7316,100.61
7317,123.17
7325-1,41.15
7327-1,337.56
7344-1,40.36
7345-1,15.28
7346-1,133.37
7409-1,15.4
7410-1,27.71
7411-1,23.09
7412-1,24.63
7413-1,44.65
7414-1,152.42
7416-1,53.89
7417-1,76.83
7418-1,131.64
7420-1,73.9
7423-1,17.54
7467-1,78.83
7473-1,63.52
7498-1,107.77
75000-1,24.18
75001-1,23.02
75002-1,23.02
75003-1,26.78
75004-1,84.68
75005-1,138.16
75012-1,263.12
75015-1,51.81
75017-1,246.34
75018-1,120.0
75019-1,181.34
75020-1,165.57
75021-1,259.06
75022-1,13.84
75023-1,51.07
75024-1,127.02
75025-1,414.16
75028-1,7.62
75029-1,19.28
75030-1,11.5
75031-1,20.54
75032-1,13.9
75034-1,17.01
75035-1,45.65
75036-1,60.45
75037-1,46.19
75038-1,29.36
75039-1,55.0
75040-1,41.57
75041-1,127.02
75042-1,92.2
6061128,63.5
6061130,92.38
75045-1,153.96
75046-1,86.55
75049-1,31.09
7505-1,3.45
75052-1,141.62
75053-1,259.06
75054-1,207.24
75055-1,198.61
75059-1,569.66
75060-1,468.69
75072-1,10.7
75073-1,20.55
75074-1,6.65
75075-1,11.99
75076-1,6.16
75077-1,21.0
75078-1,22.45
75079-1,29.09
75080-1,34.54
75081-1,20.72
75082-1,69.08
75083-1,152.42
75084-1,85.56
6100136,88.8
75086-1,92.38
75088-1,25.91
75089-1,39.72
75091-1,28.5
75092-1,94.99
75093-1,177.72
75094-1,155.43
75095-1,250.0
75096-1,184.74
75098-1,485.13
75099-1,11.43
75100-1,38.1
75101-1,131.62
75102-1,138.16
75103-1,181.34
75104-1,90.0
75105-1,207.73
75106-1,169.34
75107-1,18.0
75108-1,17.27
75109-1,35.41
75110-1,11.23
7511-1,20.76
75111-1,18.92
75112-1,60.45
75113-1,15.38
75114-1,28.66
75115-1,24.14
75116-1,10.36
75117-1,20.0
75118-1,39.99
75119-1,9.52
75120-1,32.33
75121-1,20.72
75125-1,9.09
75126-1,7.72
75127-1,22.19
75128-1,7.51
75129-1,10.79
75130-1,10.1
7513-1,32.87
75131-1,14.68
75132-1,10.1
75133-1,22.19
75134-1,41.87
75135-1,70.0
75136-1,20.46
75137-1,31.09
75138-1,44.4
75139-1,29.1
75140-1,82.58
75141-1,50.69
75142-1,104.7
75144-1,307.93
75145-1,59.87
75147-1,92.36
75148-1,36.2
75149-1,141.08
75150-1,103.62
6136704,55.0
75154-1,76.98
75155-1,115.47
75156-1,101.75
75157-1,192.45
75158-1,124.68
75159-1,846.8
75160-1,12.36
75161-1,10.62
75162-1,16.75
75163-1,12.34
75164-1,6.08
75165-1,39.72
75166-1,31.33
75167-1,23.08
75168-1,29.1
75169-1,61.58
75170-1,86.35
75171-1,88.17
75172-1,141.65
75173-1,38.47
75174-1,69.27
75175-1,123.16
75176-1,38.08
75177-1,50.81
75178-1,99.58
75179-1,140.0
75180-1,85.0
75181-1,307.93
75182-1,80.0
75185-1,102.37
75186-1,103.48
75187-1,143.19
75188-1,170.13
75189-1,173.11
75190-1,307.93
75193-1,13.84
75194-1,7.7
75195-1,18.46
75196-1,10.28
75197-1,6.08
75198-1,20.53
75199-1,23.75
75200-1,41.5
75201-1,84.66
75202-1,68.82
75203-1,44.46
75204-1,38.47
75205-1,76.16
75206-1,32.9
75207-1,21.47
75208-1,63.52
75209-1,31.95
75210-1,61.08
75212-1,230.93
75214-1,31.09
75215-1,23.92
75216-1,90.0
75217-1,90.0
75218-1,152.42
75219-1,108.8
75220-1,232.69
7522-1,50.78
75221-1,153.95
75222-1,768.28
75223-1,8.63
75224-1,12.34
75225-1,27.71
75226-1,17.01
75227-1,107.76
75228-1,12.32
75229-1,35.41
75230-1,119.32
75233-1,115.0
75234-1,25.41
75235-1,40.0
75236-1,41.34
75238-1,42.84
75240-1,86.35
75242-1,71.07
75243-1,233.15
75244-1,277.13
75246-1,18.98
75247-1,23.08
75248-1,35.0
75249-1,85.0
75250-1,45.0
7525-1,5.53
75251-1,30.78
75252-1,953.03
75253-1,190.54
75254-1,63.44
75255-1,23.02
75256-1,144.8
75257-1,209.97
75258-1,36.66
75259-1,125.75
75261-1,115.47
75262-1,58.75
75263-1,10.07
75264-1,10.14
75265-1,24.42
75266-1,11.83
75267-1,19.0
75268-1,24.42
75269-1,31.76
6288999,40.65
75271-1,36.8
75272-1,61.57
75273-1,76.97
75274-1,96.98
75275-1,249.47
75276-1,84.68
75277-1,75.12
75278-1,89.15
75280-1,36.66
75281-1,36.8
75284-1,76.16
75286-1,102.06
75288-1,235.65
75290-1,311.58
75291-1,127.97
75293-1,114.3
75294-1,142.49
75295-1,16.5
75299-1,52.9
75318-1,102.06
75523-1,21.24
75524-1,13.16
75525-1,15.45
75526-1,29.73
75528-1,26.16
75529-1,25.39
75530-1,31.43
75533-1,95.28
75534-1,43.18
75535-1,36.63
6213573,50.8
75549-1,25.0
75551-1,97.61
7566-1,15.4
7569-1,37.6
7570-1,55.89
7571-1,91.46
7572-1,73.77
75810-1,277.12
75821-1,23.51
75822-1,15.0
75823-1,40.42
75824-1,50.0
75825-1,51.93
75826-1,143.19
75827-1,813.28
7583-1,10.78
75870-1,76.97
75871-1,69.27
75872-1,46.17
75873-1,50.81
75874-1,115.46
75876-1,192.45
75877-1,46.17
75878-1,111.69
75879-1,15.93
75880-1,47.03
75883-1,198.61
75884-1,24.63
75885-1,29.25
75886-1,38.41
75887-1,46.17
75888-1,75.44
75889-1,165.14
75890-1,18.03
75891-1,16.78
75892-1,20.77
75894-1,60.0
75895-1,18.03
75899-1,30.79
75900-1,66.49
7590-1,38.49
75901-1,16.5
75902-1,133.38
75903-1,143.19
75904-1,172.46
75908-1,51.74
75909-1,28.97
6100013,92.36
7591-1,56.15
75911-1,106.71
75912-1,69.08
75915-1,63.5
75916-1,127.02
75917-1,138.55
75918-1,215.53
75919-1,628.81
75920-1,169.34
7592-1,38.11
75926-1,63.45
75927-1,36.84
75928-1,90.84
75929-1,129.33
7593-1,73.77
75931-1,78.51
75932-1,95.28
75933-1,138.55
75934-1,34.3
75935-1,74.36
75936-1,352.69
75937-1,85.75
75938-1,140.0
75940-1,99.87
7594-1,107.77
75941-1,171.48
75942-1,49.94
75945-1,24.84
75946-1,53.87
6251015,92.38
6251023,76.97
75950-1,38.47
7595-1,39.35
75951-1,25.0
75952-1,80.03
75953-1,89.3
75954-1,127.59
75955-1,123.16
75956-1,52.37
75957-1,49.56
75958-1,75.6
7596-1,138.57
75965-1,33.24
75966-1,27.71
75967-1,8.66
75968-1,35.0
75969-1,92.36
75970-1,15.0
75971-1,26.0
75972-1,34.6
75974-1,80.03
75975-1,100.36
75976-1,24.99
75978-1,583.77
75979-1,68.72
75980-1,169.34
7598-1,157.52
75987-1,36.87
7599-1,157.52
76000-1,31.16
6024698,60.0
76002-1,15.0
76003-1,43.19
76004-1,30.0
76006-1,46.0
76007-1,85.0
76008-1,33.0
76009-1,22.5
76014-1,27.71
76015-1,30.0
76016-1,29.93
76017-1,31.69
6062397,83.97
76019-1,48.27
76020-1,66.0
76021-1,120.0
76022-1,152.43
76023-1,615.85
76025-1,5.72
76026-1,100.08
76028-1,120.05
76029-1,30.0
76030-1,18.83
76031-1,99.87
76032-1,103.62
76035-1,138.57
76036-1,33.87
76037-1,75.44
76038-1,137.64
76039-1,65.0
6100875,71.76
76041-1,107.98
6102249,510.67
76044-1,12.55
76045-1,53.12
76046-1,40.0
76047-1,113.18
76048-1,27.63
76049-1,120.68
76050-1,25.97
76051-1,238.64
76052-1,299.79
76053-1,34.63
76054-1,69.87
76055-1,93.75
76057-1,176.35
76059-1,51.81
76060-1,57.17
76061-1,7.72
76062-1,9.27
76063-1,6.35
76064-1,6.35
76065-1,7.62
76066-1,8.26
76067-1,76.97
76068-1,5.72
76069-1,4.45
76070-1,4.45
7607-1,38.05
76071-1,5.72
76072-1,18.46
76073-1,18.46
76075-1,29.22
76076-1,51.93
76077-1,63.0
76078-1,120.0
76079-1,60.38
76080-1,29.0
7608-1,38.05
76081-1,121.18
76082-1,34.6
76083-1,69.86
76084-1,95.28
76085-1,25.15
76086-1,69.27
76087-1,38.47
76088-1,155.43
76089-1,8.19
76091-1,18.46
76092-1,18.46
76093-1,16.71
76095-1,90.84
6212663,69.72
76099-1,17.67
76100-1,70.54
76101-1,12.07
76102-1,63.52
6212647,69.13
76104-1,49.87
76105-1,230.93
76107-1,86.35
76109-1,38.11
76110-1,46.17
76111-1,38.05
76112-1,114.69
76113-1,50.5
76114-1,23.08
76115-1,68.6
76116-1,30.89
76117-1,66.0
76118-1,45.28
76119-1,53.89
76122-1,30.78
76123-1,30.78
76124-1,27.0
76125-1,23.08
76126-1,87.65
76127-1,38.53
76128-1,52.35
76129-1,38.1
76130-1,84.66
76131-1,126.91
76134-1,58.58
76137-1,17.5
76138-1,45.87
76139-1,323.31
76140-1,11.84
76141-1,15.24
76142-1,42.81
76143-1,49.56
76144-1,55.0
76146-1,11.84
76147-1,31.76
76148-1,37.13
76149-1,44.12
76150-1,69.46
76151-1,116.0
76152-1,74.36
76153-1,157.47
76157-1,49.56
76158-1,11.84
76159-1,61.97
76160-1,114.83
76161-1,384.91
6296472,50.8
76164-1,49.56
76165-1,74.36
6308482,149.9
76167-1,45.73
76168-1,30.79
76169-1,30.79
76171-1,30.79
76172-1,24.63
76173-1,46.19
76174-1,100.08
7620-1,38.1
7621-1,61.65
7622-1,120.0
7623-1,127.02
7624-1,31.75
7625-1,138.57
7626-1,209.6
7627-1,379.83
7628-1,152.43
7630-1,12.32
7631-1,26.94
7632-1,101.03
7633-1,154.52
7634-1,16.72
7635-1,24.84
7636-1,114.32
7637-1,383.37
7638-1,7.19
76382-1,36.07
76383-1,36.07
76384-1,36.07
76385-1,36.07
7639-1,8.66
7641-1,130.87
7642-1,94.99
7643-1,16.94
7644-1,123.17
7645-1,92.38
7647-1,27.71
7654-1,33.87
7655-1,73.04
7656-1,46.23
7657-1,52.35
7658-1,96.92
7659-1,63.52
7661-1,100.06
7662-1,463.37
7664-1,96.52
7667-1,13.27
7668-1,27.71
7669-1,22.39
7671-1,171.38
7672-1,107.77
7673-1,43.62
7675-1,277.13
7676-1,760.93
7681-1,68.3
7682-1,98.72
7683-1,168.07
7685-1,53.65
7686-1,26.94
7688-1,17.29
76895-1,18.96
76896-1,18.96
76897-1,24.05
7690-1,146.27
7691-1,142.9
7692-1,62.09
7693-1,24.63
7694-1,14.49
7695-1,10.35
7696-1,259.66
7697-1,22.32
7701-1,25.91
7703-1,38.61
7704-1,19.06
7706-1,86.55
7707-1,80.4
7709-1,384.91
7710-1,115.42
7711-1,9.24
7716-1,6.29
7717-1,15.4
7718-1,6.72
7719-1,4.43
7723-1,23.09
7731-1,10.7
7732-1,10.78
7734-1,43.28
7736-1,3.08
7741-1,4.62
7744-1,571.65
7746-1,75.44
7747-1,107.97
7749-1,39.35
7752-1,127.03
7753-1,73.77
7760-1,615.85
7771-1,50.36
7772-1,53.89
7773-1,190.55
7774-1,158.79
7775-1,229.4
7776-1,37.72
7778-1,95.0
7779-1,180.39
7780-1,306.39
7783-1,739.02
7784-1,275.52
7785-1,28.58
7789-1,20.77
77904-1,146.01
77905-1,115.47
77906-1,65.93
7797-1,8.57
7798-1,10.3
7800-1,1.38
7801-1,6.04
7802-1,3.46
7803-1,3.89
7805-1,8.64
7808-1,5.72
7813-1,46.19
7816-1,230.94
7817-1,61.58
7820-1,153.96
7823-1,117.01
7824-1,165.14
7825-1,38.49
7839-1,117.01
7842-1,23.09
7869-1,96.75
7871-1,10.37
7872-1,4.33
7875-1,8.39
7877-1,306.39
7879-1,171.49
7890-1,11.07
7892-1,244.8
7897-1,169.34
7898-1,246.34
79000-1,38.47
7900-1,57.74
79001-1,30.78
79002-1,30.78
6022051,330.27
79004-1,46.17
79005-1,114.33
79006-1,207.73
79007-1,381.1
79008-1,247.72
79010-1,153.95
7901-1,8.85
79011-1,35.0
79012-1,38.47
79013-1,229.4
79014-1,239.2
79015-1,62.88
79016-1,38.47
79017-1,76.97
79018-1,444.6
7902-1,6.93
7905-1,177.06
7906-1,32.45
79100-1,21.03
79101-1,22.5
79102-1,17.85
79103-1,88.92
79107-1,56.97
79109-1,137.2
79111-1,254.05
79115-1,99.0
79116-1,110.87
79117-1,191.36
79118-1,30.74
79119-1,38.05
79120-1,50.0
79122-1,158.79
7913-1,60.82
7914-1,50.32
7915-1,18.48
792004-1,3.86
792008-1,7.68
7929-1,23.58
7936-1,55.0
7938-1,177.85
7939-1,230.94
7942-1,4.33
7944-1,137.03
7945-1,86.55
7946-1,307.91
7947-1,115.47
7948-1,22.32
7949-1,7.68
7950-1,60.05
7953-1,4.8
7955-1,69.28
7956-1,57.17
7957-1,9.99
7959-1,48.36
7961-1,77.23
7964-1,227.66
7965-1,328.9
7967-1,2.54
7968-1,4.92
7971-1,4.92
7976-1,5.99
7977-1,7.7
7978-1,23.09
7984-1,17.38
7985-1,173.11
7990-1,15.4
7991-1,14.63
7992-1,86.38
7993-1,76.98
7997-1,229.4
7998-1,55.39
8000-1,30.79
80006-1,69.21
80007-1,114.12
80008-1,128.38
80009-1,155.42
80010-1,199.71
8001,76.9
80011-1,228.25
80012-1,254.04
6289106,290.84
80014-1,108.85
6289108,154.35
6289109,343.01
8002-1,88.92
8007,61.51
8009-1,61.78
8010-1,49.27
80101-1,252.8
80102-1,291.34
80103-1,71.76
80104-1,158.79
80105-1,188.01
80106-1,125.76
8011-1,38.49
8012-1,129.83
8014-1,56.26
8015-1,15.22
8017-1,60.0
8018-1,84.66
8019-1,72.44
8036-1,70.0
8037-1,115.48
8038-1,311.26
8039-1,276.35
804-1,30.72
8041-1,95.26
8043-1,417.46
8045-1,11.55
8046-1,16.86
8047-1,46.12
8048-1,76.99
8049-1,127.02
8051-1,72.28
8053-1,221.33
8056-1,3.85
8057-1,7.62
8058-1,6.91
8059-1,6.93
8060-1,13.09
806-1,30.79
8061-1,48.47
8063-1,400.34
8065-1,10.7
8066-1,13.78
8067-1,46.5
8068-1,25.91
8069-1,90.85
8072-1,6.93
8073-1,3.46
8075-1,35.41
8076-1,13.86
8077-1,36.0
8078-1,207.75
8079-1,62.51
8080-1,56.74
8081-1,262.79
8083-1,15.4
8084-1,11.7
8085-1,29.26
8086-1,15.49
8087-1,112.08
8088-1,123.18
8089-1,73.83
8091-1,42.66
8092-1,20.0
8093-1,17.01
8095-1,127.88
8096-1,92.31
8097-1,120.24
8098-1,215.25
8099-1,110.8
81000-1,247.67
8100-1,20.0
8102-1,18.48
8103-1,23.04
8104-1,23.04
8106-1,129.58
8107-1,113.7
8108-1,398.91
8109-1,198.63
8111-1,34.64
8113-1,105.01
8114-1,10.01
8115-1,60.0
8117-1,49.27
8119-1,6.0
8120-1,3.85
8122-1,3.02
8128-1,146.1
8129-1,221.88
8135-1,115.48
8136-1,15.4
8137-1,4.62
8138-1,13.85
8140-1,38.02
8145-1,1077.82
8147-1,42.34
8148-1,4.93
8149-1,5.39
8150-1,6.06
8152-1,8.9
8154-1,152.43
8156-1,181.35
816-1,25.97
8161-1,269.33
8163-1,9.68
8164-1,6.92
8166-1,18.4
8168-1,25.0
8169-1,138.17
8183-1,84.69
8188-1,7.7
8189-1,9.24
8190-1,30.79
8191-1,67.75
8192-1,3.02
8194-1,2.51
8195-1,4.14
8197-1,15.0
8199-1,8.38
8200-1,5.39
8201-1,4.62
8205,4.6
8206-1,10.8
8211-1,129.34
8213,15.0
8215,15.4
8229,33.87
8231-1,17.27
8232,34.59
8235,13.86
8236,14.72
8244,38.49
8253,152.43
8257,123.03
8259-1,11.55
8261-1,32.88
8262-1,33.87
8263-1,92.38
8264-1,113.13
8265-1,230.96
8268,31.76
8270-1,11.55
8271-1,19.39
8272-1,183.23
8273-1,184.77
8274-1,146.28
8282-1,12.7
8283-1,46.19
8285-1,646.59
8287-1,229.42
8289-1,112.53
8290-1,7.7
8291-1,171.39
8294-1,84.69
8297-1,460.38
8301-1,12.98
8302-1,4.63
8303-1,3.02
8304-1,1.73
8305,30.79
831-1,38.42
8311-1,15.4
8314-1,53.88
8318-1,15.4
8354-1,10.01
8359-1,3.08
8360-1,13.84
8363-1,77.72
8364-1,337.2
8365-1,107.71
8366-1,614.36
8380-1,4.62
8381-1,12.42
8382-1,10.7
8384-1,38.48
8396-1,53.89
8397-1,23.25
8398-1,4.62
840-1,46.04
8401-1,19.25
8402-1,6.89
8403-1,86.61
8408,43.35
8414,44.0
8415-1,39.74
8420-1,152.45
8421-1,292.4
8423-1,17.31
8424-1,9.09
8426-1,13.82
8435-1,75.75
8436-1,269.46
8437,95.57
8439-1,614.36
8448-1,177.07
8457,922.31
8462,138.58
8466-1,845.32
8470-1,20.77
8472-1,46.34
8480,506.42
8483-1,614.36
8484-1,61.79
8486-1,84.69
8490-1,12.36
8492-1,8.47
8493-1,15.4
8495-1,92.23
8496-1,111.8
850-1,46.19
6016019,67.75
8509,10.81
8510-1,9.27
8511,11.47
8512-1,10.81
8513,5.39
8514-1,3.81
8517-1,19.25
8522-1,12.36
4536875,342.16
4553021,307.95
4585532,307.95
8528-1,17.53
8529-1,44.62
4599605,15.58
8531,9.24
4623560,53.66
8532-1,11.37
4638572,49.8
4644585,64.16
8533,12.64
8534-1,10.7
8535,16.45
8536-1,23.17
8537-1,84.69
6253397,11.43
6254292,46.18
6255879,8.64
6266715,15.24
8539-1,195.63
6256560,7.46
853967-1,294.31
6295995,15.0
8540-1,9.16
854048-1,19.1
854065-1,16.92
8541,11.66
8542-1,9.16
8543,10.7
8544-1,10.98
8545,16.94
8547-1,460.38
8548-1,44.65
8549-1,260.22
8550-1,12.93
855-1,100.08
8551-1,12.93
8552-1,10.7
8553-1,12.07
8554-1,13.86
8555-1,7.62
8557-1,91.31
8560-1,10.97
856-1,92.38
8561-1,11.09
8562-1,10.78
8563-1,13.09
8564-1,12.7
8565-1,12.7
8566-1,7.72
8567-1,9.51
8568-1,10.11
8570-1,12.24
857-1,138.58
8571-1,15.24
8572-1,12.36
8573-1,15.4
8574-1,10.78
8575-1,12.32
8576-1,8.45
8577-1,7.7
8578-1,10.78
8581-1,14.63
8582-1,13.17
8583-1,15.35
8584-1,12.36
8587-1,8.84
8588-1,9.27
8589-1,7.61
8590-1,7.72
8591-1,7.72
8592-1,7.72
8593-1,59.97
8594-1,98.92
8596-1,69.29
8607-1,5.97
8608-1,12.32
8609-1,8.26
8610-1,14.63
8611-1,9.0
8612-1,10.62
8614-1,6.93
8620-1,20.79
8621-1,46.34
8622-1,43.11
8623-1,30.89
8625-1,86.54
8638-1,85.75
8639-1,6.35
8640-1,68.45
8641-1,3.08
8642-1,5.08
8643-1,4.62
8644-1,10.45
8645-1,43.11
8646-1,25.0
8647-1,5.39
8648-1,30.78
8650-1,18.48
8651-1,79.22
8652-1,46.18
8653-1,269.46
8654-1,230.96
8655-1,5.0
8656-1,6.35
8661-1,15.38
8663-1,15.38
8664-1,4.46
8668-1,13.85
8669-1,13.85
8670-1,13.85
8671-1,383.4
8673-1,112.53
8674-1,1153.27
8676-1,100.08
8677-1,61.59
8678-1,34.54
8679-1,65.44
8681-1,83.64
8682-1,183.23
8683-10,20.79
8683-11,29.24
8683-12,9.16
8683-13,7.62
8683-14,22.8
8683-15,12.69
8683-16,12.4
8683-2,12.32
8683-3,10.7
8683-4,18.4
8683-5,25.39
8683-6,11.32
8683-7,13.09
8683-8,12.83
8684-10,6.0
8684-11,6.49
8684-12,10.39
8684-13,8.57
8684-14,8.0
8684-15,11.69
8684-16,9.16
8684-2,24.62
8684-4,6.06
8684-5,19.37
8684-6,4.54
8684-7,4.94
8685-1,21.3
8686-1,24.64
8687-1,18.39
8688-1,25.41
8690-1,24.64
8691-1,30.79
8694-1,38.49
8695-1,13.86
8696-1,16.35
8699-1,103.87
8702-1,34.69
8704-1,9.65
8705-1,30.78
8706-1,25.97
