set_num,rrp,current_value,growth,annual_growth
10191-1,134.99,175.04,0.297,0.025
10192-1,134.99,107.99,,
10193-1,134.99,371.24,1.75,0.122
10194-1,129.99,872.07,5.46,0.13
10195-1,349.99,1831.72,4.428,0.14400000000000002
10196-1,349.99,3658.49,9.84,0.22699999999999998
10197-1,199.99,668.25,2.3,0.184
10198-1,199.99,471.74,1.33,0.066
10199-1,79.99,262.78,2.245,0.125
10-2,2.7,153.94,56.015,0.086
10200-1,94.49,201.5,1.133,0.040999999999999995
1020-1,,,,
10201-1,67.49,161.16,1.3880000000000001,0.053
10202-1,67.49,346.82,4.138999999999999,0.057
10203-1,67.49,423.0,5.268,0.126
10204-1,67.49,539.16,6.989,0.16
10205-1,32.39,379.67,10.722999999999999,0.147
102-1,,347.02,,
10210-1,229.99,1254.83,4.164,0.115
1021-1,,,,
10211-1,199.99,534.28,1.639,0.16899999999999998
10212-1,309.99,1164.38,2.3169999999999997,0.15
10213-1,129.99,742.49,4.5,0.145
10214-1,299.99,378.0,0.16699999999999998,0.132
10215-1,129.99,380.44,1.818,0.10300000000000001
10216-1,74.99,446.31,5.012,0.156
10217-1,199.99,781.65,2.86,0.16399999999999998
10218-1,199.99,318.33,0.5720000000000001,0.11699999999999999
10219-1,154.99,622.34,2.842,0.106
10220-1,129.99,210.55,0.3,0.028999999999999998
1022-1,,,,
10221-1,499.99,1283.69,1.3769999999999998,0.066
10222-1,79.99,609.9,5.455,0.158
10223-1,149.99,362.97,1.2409999999999999,0.132
10224-1,249.99,1071.55,2.969,0.191
10225-1,229.99,576.72,1.3730000000000002,0.151
10226-1,129.99,267.57,0.982,0.095
10227-1,249.99,650.69,1.41,0.157
10228-1,199.99,674.99,1.778,0.136
10229-1,129.99,511.65,2.79,0.16699999999999998
102-3,,201.77,,
10230-1,99.99,230.81,1.137,0.067
1023-1,13.49,,,
10231-1,129.99,825.58,5.1160000000000005,0.14800000000000002
10232-1,199.99,370.35,0.8290000000000001,0.21600000000000003
10233-1,149.99,352.35,1.008,0.09300000000000001
10234-1,379.99,539.99,0.25,0.055999999999999994
10235-1,129.99,251.06,0.86,0.10800000000000001
10236-1,299.99,578.99,0.716,0.10300000000000001
10237-1,249.99,519.7,0.925,0.134
10240-1,249.99,499.77,0.851,0.08900000000000001
1024-1,,,,
10241-1,179.99,404.08,0.996,0.151
10242-1,119.99,268.89,0.992,0.304
10243-1,189.99,371.25,0.7190000000000001,0.304
10244-1,179.99,307.73,0.52,0.068
10245-1,89.99,349.53,2.699,0.304
10246-1,199.99,505.44,1.34,0.304
10247-1,229.99,513.68,0.903,0.304
10248-1,119.99,370.31,1.743,0.266
10249-1,99.99,269.99,1.5,0.304
10250-1,67.49,172.0,1.5490000000000002,0.063
1025-1,,,,
10251-1,219.99,589.63,1.569,0.304
10252-1,129.99,,,
10253-1,299.99,540.0,0.6,0.14300000000000002
10254-1,129.99,209.68,0.5529999999999999,0.324
10255-1,339.99,,,
10256-1,449.99,,,
10257-1,249.99,464.85,0.722,0.225
10258-1,179.99,,,
10259-1,99.99,229.45,1.125,0.33399999999999996
10260-1,219.99,,,
1026-1,,,,
10261-1,479.99,,,
10262-1,179.99,,,
10263-1,129.99,,,
10264-1,269.99,,,
10265-1,199.99,,,
10266-1,139.99,,,
10267-1,139.99,,,
10268-1,249.99,351.57,0.302,
10269-1,139.99,,,
10270-1,199.99,,,
1027-1,,,,
10271-1,129.99,,,
10272-1,349.99,,,
10273-1,299.99,,,
10274-1,259.99,,,
10275-1,139.99,,,
10276-1,649.99,,,
10277-1,139.99,,,
10278-1,259.99,,,
10280-1,69.99,,,
1028-1,,,,
10281-1,69.99,,,
10285-1,69.99,123.84,0.6679999999999999,0.095
10287-1,229.49,229.49,,
1029-1,,145.18,,0.09
102A-1,16.86,,,
1030-1,101.24,129.34,0.278,
103-1,,90.21,,
1031-1,21.26,,,
103-2,13.43,723.74,52.879,
1032-1,107.99,251.6,1.33,0.033
1033-1,,25.3,,
1034-1,174.15,618.18,2.55,0.033
1038-1,,123.55,,
1039-1,,95.96,,
1040-1,,197.79,,
10401-1,5.99,10.5,0.5589999999999999,0.11699999999999999
1040-2,,,,
10402-1,12.99,16.09,0.193,0.053
10403-1,24.99,27.16,0.006999999999999999,
10404-1,34.99,46.79,0.156,0.04
10405-1,69.99,106.45,0.314,0.077
104-1,,39.8,,
1041-1,,,,
1041-2,49.26,,,
1042-1,,,,
1043-1,,,,
1044-1,,,,
1045-1,,,,
1045-2,51.98,,,
1046-1,,,,
1047-1,,,,
1048-1,10.8,,,
1049-1,,,,
10500-1,34.99,80.04,0.977,0.094
1050-1,,377.04,,
10501-1,5.99,8.14,0.20800000000000002,0.035
10502-1,34.99,357.75,7.836,0.22699999999999998
10503-1,17.99,28.8,0.423,0.033
10504-1,39.99,125.1,1.6480000000000001,0.132
10505-1,69.99,176.62,1.181,0.125
10506-1,24.99,53.93,0.998,0.171
10507-1,49.99,222.28,2.66,0.364
10508-1,129.99,300.44,1.023,0.187
10509-1,14.99,151.19,6.471,0.24600000000000002
105-1,,470.19,,0.132
10510-1,24.99,54.35,0.611,0.077
10511-1,39.99,119.48,1.213,0.099
10512-1,14.99,53.74,1.656,0.125
10513-1,24.99,57.01,0.69,0.09
10514-1,39.99,235.56,3.363,0.225
10515-1,29.99,135.31,2.342,0.146
10516-1,17.99,86.31,3.265,0.155
10517-1,12.99,40.49,1.3090000000000002,0.095
10518-1,19.99,161.99,5.003,0.233
10519-1,24.99,104.81,2.884,0.102
105-2,,,,
10520-1,24.99,138.32,4.126,0.166
10521-1,8.99,16.56,0.755,0.085
10522-1,12.99,54.26,3.023,0.19699999999999998
10524-1,24.99,71.89,1.6640000000000001,0.254
10525-1,59.99,236.25,1.9169999999999998,0.248
10526-1,29.99,44.91,0.109,0.032
10527-1,17.99,67.38,2.33,0.201
10528-1,19.99,67.37,1.496,0.171
10529-1,17.99,30.19,0.49200000000000005,0.045
1053-1,,1425.82,,
10531-1,39.99,195.64,3.142,0.157
10532-1,24.99,101.16,1.9980000000000002,0.174
10538-1,29.99,125.13,2.0909999999999997,0.16899999999999998
10539-1,24.99,53.99,0.6,0.08199999999999999
1054-1,,246.23,,0.033
10542-1,39.99,99.56,1.1079999999999999,0.139
10543-1,19.99,72.98,1.704,0.142
10544-1,29.99,80.69,0.993,0.158
10545-1,49.99,105.0,0.556,0.09
10546-1,24.99,43.73,0.29600000000000004,0.038
10550-1,24.99,47.24,0.75,0.07200000000000001
10552-1,19.99,112.13,3.155,0.212
10553-1,12.99,40.49,1.3090000000000002,0.1
10554-1,14.99,37.48,0.852,0.132
10555-1,39.99,260.51,5.434,0.364
10556-1,49.99,159.89,1.633,0.07
10557-1,69.99,177.73,1.195,0.122
10558-1,19.99,69.75,1.585,0.163
