set_num,rrp,current_value,growth,annual_growth
5006210-1,11.49,,,
5006211-1,11.49,,,
5006215-1,19.99,,,
5006230-1,14.49,,,
5006258-1,11.49,,,
5006289-1,11.99,,,
5006290-1,,,,
5006330-1,,48.75,,
5006357-1,34.99,,,
5006360-1,39.99,,,
5006363-1,,41.13,,
5006365-1,13.49,,,
5006366-1,16.19,,,
5007-1,29.7,42.74,0.439,0.012
5008-1,,12.11,,
5009-1,,25.34,,
50-1,,506.45,,
5010-1,,15.86,,
5011-1,36.44,51.39,0.41100000000000003,0.013000000000000001
5012-1,,12.19,,0.025
501-3,4.73,,,
5013-1,,20.1,,0.09699999999999999
5014-1,,9.84,,0.20600000000000002
5015-1,,13.51,,0.045
5016-1,,31.78,,0.161
5017-1,,9.87,,0.076
5018-1,,41.45,,0.109
5021-1,5.39,13.47,1.501,0.045
502-2,,,,
5022-1,5.39,,,
5023-1,2.69,12.45,3.633,0.07200000000000001
5024-1,9.44,11.0,0.166,
5025-1,5.39,,,
5026-1,7.41,16.2,1.186,0.035
5028-1,6.74,,,
5029-1,16.19,64.61,2.992,0.059000000000000004
5030-1,,20.66,,
503-1,,15.82,,
5031-1,3.38,8.59,1.544,0.028999999999999998
503-2,,,,
5032-1,2.03,2.98,0.473,0.012
5033-1,7.41,20.13,1.716,0.036000000000000004
5034-1,7.41,15.67,1.115,0.022000000000000002
5035-1,10.13,11.48,0.133,0.035
5036-1,10.13,15.42,0.523,0.035
5037-1,8.09,35.3,3.366,0.043
5038-1,7.41,18.68,1.521,0.03
5039-1,8.09,41.09,4.082,0.064
5040-1,40.49,196.1,3.844,0.066
504-1,,34.82,,
5041-1,5.39,11.0,1.043,0.023
5042-1,3.36,19.82,4.896,0.063
5043-1,3.36,20.61,5.132999999999999,0.049
5044-1,7.95,51.8,5.513999999999999,0.067
5045-1,,28.42,,
5046-1,,16.02,,
5047-1,4.71,,,
5048-1,4.39,40.86,8.314,0.086
5049-1,4.71,14.74,2.129,0.043
5050-1,4.71,15.66,2.324,0.038
5051-1,,18.08,,
5052-1,,13.96,,
5053-1,4.71,9.26,0.966,0.032
5054-1,,62.96,,
5055-1,,25.1,,
5056-1,5.74,20.44,2.562,0.048
5057-1,4.04,14.9,2.6919999999999997,0.055
5058-1,4.04,40.5,9.033,0.08900000000000001
5059-1,2.69,126.33,46.025,0.153
5060-1,4.04,24.38,5.04,0.046
5061-1,4.12,17.58,3.2689999999999997,0.036000000000000004
5062-1,6.06,26.7,3.405,0.046
5063-1,6.06,16.4,1.706,0.031
5064-1,4.12,16.36,2.9739999999999998,0.034
5065-1,9.44,51.0,4.405,0.053
5066-1,5.39,39.42,6.318,0.08800000000000001
5067-1,4.04,35.4,7.769,0.046
5068-1,6.74,25.99,2.858,0.053
5069-1,3.04,23.68,6.796,0.043
5070-1,2.16,23.29,9.781,0.076
507-1,,,,
5071-1,4.04,79.56,18.709,0.081
5072-1,4.04,42.04,9.415,0.064
5073-1,4.04,24.0,4.946000000000001,0.08
5074-1,2.69,15.58,4.7989999999999995,0.044000000000000004
5075-1,13.49,52.29,2.877,0.042
5076-1,,4.66,,
5077-1,1.49,20.2,12.6,0.043
5078-1,,33.09,,
5079-1,4.04,64.84,15.064,0.094
5080-1,13.49,28.05,1.08,0.024
508-1,,29.54,,
5081-1,9.44,49.02,4.195,0.055
5082-1,9.44,41.54,3.4019999999999997,0.049
5083-1,9.44,17.87,0.894,0.024
5084-1,2.69,32.14,10.965,0.064
5085-1,2.69,34.87,11.98,0.079
5086-1,49.99,216.31,3.0069999999999997,0.25
5087-1,3.71,22.71,5.1160000000000005,0.078
5088-1,5.39,,,
5089-1,16.19,186.66,10.532,0.107
5090-1,16.19,186.45,10.519,0.107
509-1,0.68,,,
5091-1,16.19,134.91,7.334,0.092
5098-1,3.71,4.97,0.33799999999999997,0.01
5099-1,3.04,8.24,1.7109999999999999,0.045
50999-1,5.49,21.74,2.226,0.267
5100-1,10.79,12.95,0.2,
510-1,,33.16,,
5101-1,16.88,18.32,0.086,0.011000000000000001
510-2,0.68,,,
5102-1,2.69,29.7,10.055,0.076
510-3,,93.51,,
5103-1,2.69,16.86,5.276,0.057
5104-1,2.69,32.02,10.92,0.057
5105-1,3.36,27.18,7.084,0.033
5106-1,4.71,31.79,5.747999999999999,0.066
5107-1,4.39,15.74,2.588,0.045
5108-1,4.04,17.59,3.358,0.049
5109-1,4.39,15.61,2.557,0.024
5110-1,5.39,17.33,2.218,0.04
5110-2,,22.79,,
511-1,6.75,380.61,55.386,0.08199999999999999
5111-1,5.39,16.65,2.09,0.040999999999999995
5112-1,,57.01,,
5113-1,,22.91,,
5114-1,21.59,29.54,0.368,0.027000000000000003
5115-1,14.84,91.21,5.147,0.10400000000000001
5116-1,4.39,12.53,1.855,0.035
5117-1,5.39,18.91,2.511,0.03
5118-1,8.09,74.78,8.247,0.08
5119-1,13.49,103.92,6.706,0.05
5120-1,7.41,15.9,1.146,0.028999999999999998
512-1,1.69,114.21,66.68,0.08800000000000001
5121-1,5.74,28.5,3.967,0.064
5122-1,4.04,33.3,7.251,0.111
5124-1,4.71,18.93,3.017,0.055
5125-1,4.04,32.48,7.047000000000001,0.076
5126-1,4.71,17.08,2.625,0.053
5127-1,4.04,30.75,6.619,0.085
5128-1,4.71,18.41,2.908,0.071
5129-1,5.74,48.18,7.398,0.09300000000000001
5130-1,4.04,8.1,1.0070000000000001,0.023
513-1,3.36,114.78,33.145,0.057
5131-1,4.71,63.94,12.57,0.115
5132-1,4.71,22.15,3.702,0.075
5133-1,4.04,19.94,3.94,0.073
5134-1,5.39,36.34,5.747000000000001,0.08199999999999999
5135-1,4.71,52.99,10.245999999999999,0.064
5136-1,3.98,12.68,2.1830000000000003,0.05
5137-1,4.71,30.58,5.49,0.038
5138-1,4.71,128.48,26.269000000000002,0.136
5139-1,4.39,19.75,3.502,0.06
5140-1,6.74,26.99,3.0060000000000002,0.06
514-1,,,,
5141-1,6.74,27.0,3.008,0.06
5142-1,6.74,13.35,0.982,0.028999999999999998
5143-1,6.74,32.63,3.844,0.068
5144-1,6.74,26.99,3.0060000000000002,0.06
5145-1,6.74,54.0,7.016,0.091
5146-1,6.74,22.05,2.273,0.051
5147-1,6.74,26.99,3.0060000000000002,0.06
5148-1,7.09,,,
5149-1,6.74,22.41,2.327,0.06
5150-1,4.39,40.5,8.231,0.046
515-1,,29.5,,
5151-1,6.74,22.05,2.273,0.051
51515-1,399.99,,,
515-2,,,,
5152-1,6.74,13.27,0.97,0.028999999999999998
5153-1,6.74,8.59,0.275,
5154-1,,61.9,,
5155-1,4.71,13.54,1.874,0.037000000000000005
5156-1,4.71,23.25,3.9339999999999997,0.057
5157-1,4.71,36.34,6.712999999999999,0.073
5158-1,8.09,,,
5159-1,8.09,,,
5160-1,4.04,21.22,4.258,0.059000000000000004
516-1,1.69,,,
5161-1,4.04,4.29,0.064,0.015
5162-1,3.36,15.62,3.647,0.048
5163-1,2.69,6.56,1.442,0.04
5164-1,3.36,16.98,4.052,0.057999999999999996
5165-1,4.04,17.37,3.304,0.04
5166-1,,5.94,,
5167-1,,,,
5168-1,4.04,40.49,9.03,0.105
5169-1,4.73,14.89,2.151,0.039
517-1,2.01,54.0,25.846,0.076
5171-1,4.04,66.08,15.370999999999999,0.08800000000000001
517-2,,,,
5172-1,4.71,21.21,3.5010000000000003,0.045
5173-1,3.71,47.59,11.818,0.08
5174-1,3.71,9.69,1.611,0.018000000000000002
5175-1,4.71,15.85,2.364,0.071
51757-1,7.95,,,
5176-1,3.71,48.38,12.033,0.068
5177-1,3.71,20.28,4.462,0.028999999999999998
5178-1,3.71,12.12,2.265,0.037000000000000005
5179-1,3.71,44.15,10.890999999999998,0.078
5180-1,8.09,,,
518-1,0.68,,,
518-10,,5.9,,0.032
518-11,249.99,463.14,0.715,0.33399999999999996
5181-1,8.09,,,
518-12,29.99,94.49,1.801,0.324
518-13,29.99,67.5,1.001,0.293
518-14,49.99,53.99,,
518-15,89.99,107.65,0.139,0.047
5182-1,4.46,13.08,1.936,0.035
5183-1,,22.13,,
5184-1,4.39,70.58,15.085999999999999,0.071
5185-1,3.04,10.27,2.3819999999999997,0.037000000000000005
5186-1,2.63,9.87,2.7489999999999997,0.044000000000000004
5187-1,6.68,24.56,2.675,0.049
518-8,2.01,,,
5188-1,,17.77,,
518-9,0.68,,,
5189-1,4.46,22.57,4.067,0.064
5190-1,,14.78,,
519-1,0.68,,,
519-10,179.99,375.29,0.738,0.33399999999999996
519-11,129.99,257.69,0.909,0.225
5191-1,,2.79,,
519-12,899.99,,,
519-13,12.99,21.07,0.563,0.258
519-14,12.99,14.92,0.106,0.076
519-15,24.99,27.27,0.011000000000000001,0.013000000000000001
5192-1,3.04,143.88,46.369,0.133
5193-1,3.98,5.83,0.46399999999999997,0.036000000000000004
5194-1,5.74,17.64,2.075,0.048
5195-1,3.98,4.16,0.044000000000000004,0.027999999999999997
5196-1,2.69,11.85,3.412,0.049
5197-1,4.46,11.34,1.545,0.031
519-8,3.04,,,
5198-1,,,,
519-9,0.68,,,
5199-1,,26.62,,
5200-1,2.69,49.14,17.291,0.066
520-1,,67.27,,
520-10,34.99,41.27,0.019,0.022000000000000002
520-11,49.99,73.62,0.364,0.079
5201-1,5.39,8.69,0.614,0.021
520-12,99.99,110.15,,
520-13,39.99,52.83,0.305,0.155
520-14,39.99,60.74,0.5,0.11699999999999999
520-15,49.99,73.02,0.353,0.11800000000000001
520-16,16.99,33.75,0.6679999999999999,0.302
520-17,16.99,21.06,0.040999999999999995,0.021
520-2,0.68,26.99,38.98,0.053
5202-1,5.39,6.18,0.14800000000000002,
520-3,0.68,48.45,70.78,0.064
5203-1,6.74,25.53,2.79,0.066
5204-1,5.39,7.07,0.313,0.013000000000000001
5205-1,5.39,16.29,2.025,0.054000000000000006
5206-1,26.99,63.73,1.3619999999999999,0.051
520-9,3.9,,,
5210-1,49.99,53.45,,
521-1,0.68,,,
521-10,49.99,53.45,,
521-11,89.99,192.51,1.037,0.33399999999999996
5211-1,33.74,,,
521-12,199.99,242.99,0.059000000000000004,0.068
521-13,49.99,54.26,0.005,0.026000000000000002
521-14,24.99,38.61,0.431,0.08900000000000001
521-15,39.99,42.0,0.037000000000000005,0.046
5212-1,53.99,,,
5213-1,21.59,,,
5215-1,6.74,13.27,0.97,0.033
5216-1,6.74,29.98,3.451,0.07400000000000001
5217-1,7.41,10.8,0.457,0.018000000000000002
521-8,5.39,,,
5218-1,37.79,206.39,4.462,0.11
521-9,0.68,84.85,124.7,0.07400000000000001
5219-1,40.49,97.02,1.396,0.045
5220-1,16.19,179.94,10.117,0.077
522-1,,518.71,,
5221-1,53.99,80.07,0.483,0.02
5222-1,22.94,97.79,3.264,0.075
5223-1,13.49,32.54,1.412,0.047
5225-1,21.26,33.39,0.57,0.038
5226-1,5.39,7.99,0.484,0.018000000000000002
5227-1,4.04,32.62,7.08,0.111
5228-1,6.06,7.91,0.305,0.012
5229-1,5.39,19.78,2.6719999999999997,0.057999999999999996
5230-1,26.99,,,
523-1,,435.58,,
5231-1,3.71,12.49,2.364,0.023
5232-1,3.71,10.8,1.909,0.033
5233-1,69.99,132.29,0.96,0.35100000000000003
5233-2,4.71,5.29,0.12300000000000001,0.032
5234-1,,7.28,,
52348-1,5.99,6.72,,
5235-1,6.06,10.06,0.659,0.031
5235-2,6.74,351.92,51.24,0.11
5236-1,,7.7,,
5237-1,,17.58,,
5238-1,,13.37,,
5239-1,4.39,10.8,1.462,0.027999999999999997
52394-1,13.49,,,
52395-1,4.44,,,
52396-1,2.69,,,
52397-1,3.04,,,
5240-1,3.71,9.27,1.4980000000000002,0.027999999999999997
524-1,,366.54,,
5241-1,4.39,19.37,3.415,0.046
5242-1,4.71,12.11,1.57,0.055999999999999994
5243-1,4.71,20.25,3.298,0.045
5244-1,4.04,17.6,3.361,0.027999999999999997
5245-1,4.39,21.49,3.898,0.063
5246-1,6.41,40.73,5.352,0.037000000000000005
5247-1,4.04,54.0,12.378,0.08199999999999999
5248-1,,15.93,,
5249-1,3.71,15.65,3.215,0.042
5250-1,,17.2,,
525-1,,60.95,,
5251-1,7.09,15.69,1.213,0.053
5252-1,5.39,9.06,0.682,0.035
5253-1,3.04,3.2,0.053,
5254-1,4.04,7.18,0.779,0.019
5255-1,2.69,6.66,1.4769999999999999,0.031
5256-1,4.04,25.99,5.438,0.062
5257-1,3.04,17.17,4.6530000000000005,0.053
5258-1,2.69,16.16,5.015,0.062
5259-1,3.71,14.18,2.818,0.046
5260-1,3.04,17.02,4.604,0.051
5261-1,4.04,20.6,4.104,0.055999999999999994
5262-1,2.69,13.18,3.905,0.054000000000000006
5263-1,4.39,13.28,2.028,0.038
5264-1,3.04,5.93,0.951,0.043
5265-1,5.39,19.02,2.531,0.045
5266-1,8.09,22.65,1.801,0.034
5267-1,5.39,7.43,0.37799999999999995,0.012
5268-1,5.39,7.98,0.48100000000000004,0.016
5269-1,4.39,22.96,4.234,0.068
5270-1,,5.35,,
527-1,,,,
5271-1,,6.83,,
5272-1,4.04,6.41,0.589,0.013000000000000001
5273-1,,20.67,,
5274-1,6.06,8.34,0.376,0.011000000000000001
5275-1,4.39,6.57,0.498,0.018000000000000002
5276-1,6.06,21.34,2.521,0.048
5277-1,5.39,24.08,3.471,0.067
5278-1,5.39,13.15,1.4409999999999998,0.046
5279-1,5.39,12.73,1.3630000000000002,0.028999999999999998
5280-1,4.39,4.05,,
528-1,,32.16,,
5281-1,5.39,8.52,0.581,0.018000000000000002
5282-1,8.09,27.0,2.339,0.047
5283-1,5.39,9.63,0.787,0.023
5284-1,5.39,34.37,5.381,0.07400000000000001
5285-1,6.06,8.17,0.34700000000000003,0.012
5286-1,6.06,12.93,1.1340000000000001,0.03
5287-1,5.39,12.78,1.3730000000000002,0.032
5288-1,,14.23,,
5289-1,6.06,11.31,0.866,0.026000000000000002
5290-1,4.71,16.15,2.427,0.053
529-1,,,,
5291-1,4.04,4.16,0.03,
5292-1,17.54,34.37,0.96,0.027999999999999997
5293-1,16.54,44.98,1.72,0.043
5294-1,5.39,5.78,0.073,
5295-1,5.39,13.96,1.591,0.051
5300-1,33.74,160.23,3.7489999999999997,0.057999999999999996
530-1,,154.58,,
5301-1,4.04,31.17,6.722,0.084
530-2,,,,
5302-1,2.69,17.89,5.6579999999999995,0.078
5303-1,4.04,15.01,2.719,0.048
5304-1,4.04,8.44,1.09,0.027000000000000003
5305-1,8.09,69.09,7.544,0.08
5306-1,5.39,,,
5307-1,5.39,34.21,5.351,0.068
5308-1,3.04,14.36,3.7289999999999996,0.062
5309-1,4.04,39.3,8.736,0.073
5310-1,6.74,23.42,2.477,0.045
531-1,,,,
5311-1,4.04,28.92,6.164,0.079
5313-1,4.04,18.5,3.582,0.081
5314-1,4.04,19.43,3.813,0.052000000000000005
5315-1,4.04,19.05,3.719,0.11599999999999999
5316-1,4.71,20.06,3.258,0.071
5317-1,5.74,28.12,3.9010000000000002,0.079
5318-1,4.04,17.4,3.3110000000000004,0.038
5319-1,4.04,14.18,2.512,0.040999999999999995
5320-1,5.39,13.45,1.496,0.024
532-1,,,,
5321-1,5.39,,,
5322-1,24.29,,,
5327-1,22.94,,,
533-1,,50.21,,
533-2,1.49,62.94,41.382,0.091
5339-1,24.29,,,
534-1,,119.14,,
5342-1,10.79,,,
5349-1,33.74,80.15,1.376,0.059000000000000004
5350-1,26.99,,,
535-1,,64.95,,
5351-1,26.99,,,
535-2,2.03,52.69,25.02,0.079
5352-1,26.99,,,
5352-2,26.99,102.1,2.783,0.09300000000000001
5353-1,33.74,,,
5354-1,16.19,,,
5355-1,13.49,142.44,9.562000000000001,0.159
5356-1,20.24,104.85,4.181,0.10800000000000001
5357-1,26.99,117.6,3.358,0.096
5358-1,33.74,80.95,1.399,0.055999999999999994
5359-1,20.24,184.68,8.126,0.14800000000000002
536-1,,91.33,,
5361-1,33.74,58.23,0.726,0.037000000000000005
5363-1,33.74,212.56,5.301,0.131
5367-1,14.84,,,
5369-1,26.99,163.61,5.063,0.128
5370-1,26.99,162.24,5.012,0.127
537-1,,50.6,,
5371-1,16.19,,,
537-2,,180.62,,
5378-1,121.49,1084.39,7.926,0.106
5380-1,40.49,40.49,,
5380-2,40.49,63.18,0.561,0.038
5381-1,5.39,29.85,4.541,0.040999999999999995
5382-1,5.39,21.65,3.02,0.065
5383-1,4.04,35.72,7.849,0.10400000000000001
5384-1,6.06,15.86,1.617,0.035
5385-1,17.54,31.24,0.7809999999999999,0.037000000000000005
5386-1,4.04,36.4,8.017000000000001,0.105
5387-1,4.71,9.34,0.983,0.033
5388-1,4.04,31.41,6.7829999999999995,0.098
5389-1,6.06,24.49,3.04,0.032
5390-1,5.39,13.19,1.449,0.042
5391-1,6.74,40.41,4.998,0.105
5392-1,6.74,63.65,8.449,0.051
5393-1,4.04,18.67,3.625,0.079
5394-1,6.06,39.42,5.502999999999999,0.085
5395-1,4.04,11.38,1.819,0.12300000000000001
5396-1,4.71,11.0,1.335,0.036000000000000004
5397-1,5.39,61.56,10.429,0.107
5398-1,5.74,25.19,3.391,0.064
5399-1,4.39,22.67,4.166,0.081
5400-1,5.39,19.99,2.7119999999999997,0.061
540-1,,194.04,,
5401-1,5.39,66.1,11.270999999999999,0.121
540-2,5.74,350.0,60.001999999999995,0.106
5402-1,8.09,,,
540-3,21.59,654.12,29.302,0.141
5403-1,13.49,,,
5404-1,53.99,109.35,1.026,0.033
5405-1,8.09,,,
54-1,10.79,245.85,21.791999999999998,0.146
5410-1,109.99,167.22,0.239,0.055
5412-1,6.99,,,
5413-1,5.74,25.16,3.386,0.073
5414-1,5.74,49.77,7.675,0.10800000000000001
5415-1,5.39,13.27,1.464,0.10400000000000001
5416-1,17.99,107.99,4.336,0.13699999999999998
5417-1,67.49,,,
5419-1,40.49,58.33,0.441,0.027999999999999997
542-1,5.39,174.27,31.353,0.08900000000000001
5421-1,2.69,18.12,5.744,0.11199999999999999
5433-1,10.79,24.3,1.253,0.044000000000000004
5437-1,2.69,7.41,1.7590000000000001,0.031
544-1,12.81,,,
545-1,,,,
545-2,4.04,509.15,125.137,0.106
5461-1,17.54,17.54,,
5470-1,13.49,114.55,7.492999999999999,0.165
547-1,,742.5,,
5475-1,10.79,217.28,19.144000000000002,0.19699999999999998
5476-1,17.54,110.21,5.285,0.13
5477-1,20.24,46.86,1.3159999999999998,0.062
5480-1,26.99,73.82,1.735,0.08
5481-1,33.74,132.3,2.9219999999999997,0.10300000000000001
5482-1,33.74,41.51,0.23,0.015
5483-1,33.74,55.88,0.6559999999999999,0.037000000000000005
5485-1,,12.39,,0.047
5485-2,,12.39,,0.09
5485-3,,12.39,,0.09
5485-4,,12.39,,0.09
5485-5,,12.39,,0.09
5486-1,39.99,94.49,1.334,0.066
5487-1,39.99,52.25,0.29,0.027000000000000003
5488-1,64.99,202.37,2.748,0.14300000000000002
5489-1,64.99,80.31,0.322,0.031
5490-1,37.13,61.05,0.644,0.057
5491-1,53.99,222.22,3.116,0.106
5492-1,26.99,60.25,1.232,
5493-1,40.49,107.93,1.666,0.078
5494-1,,3.29,,0.106
5497-1,34.99,63.15,0.872,0.059000000000000004
55001-1,13.49,38.46,1.8519999999999999,0.054000000000000006
550-1,56.7,364.03,5.42,0.055
550-2,20.24,729.0,35.024,0.085
5503-1,13.49,,,
5504-1,13.49,,,
5506-1,29.99,150.89,2.727,0.135
5507-1,49.99,269.87,2.9989999999999997,0.10800000000000001
5508-1,59.99,530.12,6.855,0.20600000000000002
5509-1,17.54,97.62,4.567,0.257
5510-1,33.74,405.77,11.027999999999999,0.055999999999999994
551-1,5.06,78.88,14.581,0.069
5511-1,39.99,271.35,5.702000000000001,0.268
5512-1,80.99,130.76,0.615,0.059000000000000004
5513-1,53.99,,,
5514-1,17.54,,,
5515-1,16.19,37.3,1.304,0.129
5516-1,53.99,86.85,0.609,0.037000000000000005
5517-1,26.99,,,
5518-1,26.99,,,
5519-1,33.74,108.0,2.201,0.094
552-1,5.06,139.35,26.525,0.084
5521-1,49.26,164.01,2.329,0.046
5522-1,53.99,104.1,0.9279999999999999,0.055
5524-1,53.99,112.77,1.089,0.05
5525-1,94.49,140.0,0.48200000000000004,0.087
5526-1,175.49,1201.46,5.846,0.073
5527-1,26.99,,,
5528-1,26.99,65.48,1.426,0.071
5529-1,17.54,59.24,2.378,0.12300000000000001
553-1,6.74,142.11,20.096,0.077
5531-1,5.39,51.07,8.481,0.162
5532-1,,,,
5533-1,67.49,110.46,0.637,0.026000000000000002
5536-1,26.99,,,
5537-1,26.99,,,
5538-1,39.99,103.59,1.5590000000000002,0.114
5539-1,39.99,161.99,3.0010000000000003,0.08
5540-1,53.99,337.5,5.252000000000001,0.031
554-1,5.25,419.85,78.949,0.07
5541-1,53.33,341.6,5.406000000000001,0.079
5542-1,53.99,265.48,3.917,0.075
5543-1,26.99,202.37,6.499,0.128
5544-1,67.49,646.07,8.573,0.129
5545-1,26.99,94.37,2.497,0.09699999999999999
5546-1,40.49,917.58,21.664,0.142
5547-1,40.49,242.87,4.999,0.129
5548-1,39.99,208.95,4.1610000000000005,0.17
5549-1,39.99,172.22,3.2539999999999996,0.142
5550-1,66.83,709.75,9.621,0.106
555-1,20.24,728.88,35.018,0.085
555-2,17.54,112.13,5.394,0.049
5552-1,26.99,345.47,11.800999999999998,0.107
5554-1,40.49,248.05,5.127000000000001,0.076
5555-1,20.24,242.87,11.001,0.08199999999999999
55555-1,,10.75,,0.354
5556-1,13.49,312.12,22.143,0.16
5560-1,39.99,81.54,1.014,0.109
556-1,5.74,266.45,45.44,0.098
5561-1,118.8,477.91,3.023,0.062
5563-1,107.99,682.01,5.316,0.078
557-1,,,,
5571-1,187.65,2254.35,11.014000000000001,0.109
5572-1,60.74,316.71,4.2139999999999995,0.152
5573-1,60.74,,,
5574-1,17.99,20.51,0.16899999999999998,0.016
5575-1,20.24,33.44,0.652,0.043
5576-1,26.99,36.67,0.359,0.031
5577-1,22.94,49.22,1.146,0.065
5578-1,26.99,,,
5580-1,107.99,551.64,4.1080000000000005,0.033
558-1,9.38,390.11,40.578,0.095
5581-1,106.65,633.31,4.938,0.068
5582-1,67.49,97.01,0.43700000000000006,0.031
5583-1,40.49,70.75,0.748,0.05
5584-1,40.49,61.44,0.518,0.036000000000000004
5585-1,21.99,74.13,1.7469999999999999,0.076
5586-1,20.24,53.85,1.661,0.09300000000000001
5587-1,26.99,82.73,2.066,0.1
5588-1,80.99,151.28,0.868,0.061
5589-1,80.99,86.55,0.069,
5590-1,107.99,1898.71,16.583,0.094
5591-1,148.49,819.34,4.518,0.036000000000000004
5592-1,19.99,40.73,1.013,0.073
5593-1,69.99,352.82,4.228,0.141
5594-1,64.99,263.25,2.9010000000000002,0.145
5595-1,119.99,354.09,1.915,0.081
5596-1,17.54,104.96,4.985,0.168
5597-1,33.74,202.86,5.013,0.142
5598-1,67.49,491.24,6.279,0.083
5599-1,107.99,407.27,2.7710000000000004,0.07200000000000001
5600-1,107.99,330.6,2.062,0.037000000000000005
560-1,26.93,1654.59,60.435,0.106
5601-1,79.99,264.83,2.27,0.07400000000000001
560-2,21.59,515.62,22.886,0.068
5602-1,59.99,103.59,0.919,0.085
5603-1,9.99,24.18,0.992,0.08
5604-1,49.99,121.12,1.244,0.048
5605-1,33.74,67.37,0.997,0.048
5606-1,17.99,47.24,1.0590000000000002,0.045
5607-1,22.94,55.49,1.419,0.085
5608-1,89.99,358.97,3.432,0.11900000000000001
5609-1,159.99,320.06,0.976,0.079
5610-1,4.71,12.19,1.587,0.086
5611-1,4.71,8.05,0.708,0.047
5612-1,4.71,8.3,0.762,0.055
5613-1,4.71,6.75,0.433,0.033
561407-1,,6.16,,0.07200000000000001
561408-1,,4.94,,0.08199999999999999
561409-1,,4.82,,0.040999999999999995
5614-1,4.71,24.69,4.2410000000000005,0.094
561410-1,,6.28,,0.102
561411-1,,4.24,,0.061
561412-1,,4.66,,0.079
561501-1,,5.51,,0.032
561502-1,,6.02,,0.076
561503-1,,5.35,,0.052000000000000005
561504-1,,4.94,,0.11800000000000001
561505-1,,5.78,,0.099
561506-1,,6.35,,0.113
561507-1,,4.47,,0.126
561508-1,,5.02,,0.053
561509-1,,4.94,,0.092
5615-1,4.71,24.69,4.2410000000000005,0.125
561510-1,,5.29,,0.134
561511-1,,5.01,,0.017
561512-1,,6.33,,0.022000000000000002
561601-1,,5.31,,0.078
561602-1,,7.25,,0.027000000000000003
561603-1,,5.39,,0.133
561605-1,,4.58,,0.085
561606-1,,6.14,,0.068
561607-1,,5.28,,0.077
561608-1,,5.18,,0.05
561609-1,,4.93,,0.127
5616-1,4.71,22.61,3.799,0.10400000000000001
561610-1,,4.81,,0.046
561611-1,,6.35,,0.037000000000000005
561612-1,,6.51,,0.02
561701-1,,4.94,,0.07
561702-1,,4.62,,0.06
561703-1,,3.29,,0.131
561704-1,,3.58,,0.154
561705-1,,6.3,,0.068
561706-1,,6.76,,0.01
5617-1,4.71,35.19,6.47,0.11800000000000001
561801-1,,4.14,,0.071
561802-1,,4.71,,0.114
561803-1,,3.74,,0.08199999999999999
561804-1,,6.18,,0.08199999999999999
561805-1,,5.05,,0.092
561806-1,,5.68,,0.022000000000000002
561807-1,,5.68,,0.092
561808-1,,5.24,,0.115
561809-1,,5.83,,0.05
5618-1,4.71,16.48,2.499,0.09699999999999999
561810-1,,3.09,,0.102
561811-1,,4.93,,0.012
561901-1,,5.05,,0.042
561902-1,,4.27,,0.012
561903-1,,5.83,,0.022000000000000002
561904-1,,5.63,,0.032
561905-1,,3.65,,0.08199999999999999
561906-1,,3.52,,0.022000000000000002
561907-1,,4.27,,0.102
561908-1,,5.4,,0.022000000000000002
561909-1,,5.37,,0.012
5619-1,4.71,22.91,3.862,0.14300000000000002
561910-1,,3.98,,0.022000000000000002
561911-1,,6.33,,0.032
562001-1,,5.62,,0.092
562002-1,,5.91,,0.07200000000000001
562003-1,,5.08,,0.07200000000000001
562004-1,,5.24,,0.08199999999999999
562005-1,,6.17,,0.012
562006-1,,5.74,,0.042
562007-1,,9.05,,0.052000000000000005
562008-1,,6.93,,0.032
562009-1,,6.26,,0.092
5620-1,4.71,13.0,1.7590000000000001,0.049
562010-1,,6.36,,0.092
562011-1,,7.98,,0.08199999999999999
5621-1,4.71,14.53,2.083,0.07
5622-1,19.99,28.08,0.040999999999999995,
5623-1,22.94,30.92,0.348,0.038
5625-1,,7.7,,0.09
5626-1,6.74,24.23,2.597,0.062
5627-1,,16.34,,0.065
5632-1,9.99,13.5,0.252,0.022000000000000002
5633-1,39.99,78.48,0.938,0.047
5634-1,64.99,704.48,9.439,0.16899999999999998
5635-1,129.99,220.56,0.816,0.047
5636-1,29.99,165.36,3.9019999999999997,0.136
5637-1,19.99,124.47,4.427,0.109
5638-1,12.99,115.26,7.547000000000001,0.187
5639-1,89.99,475.75,4.035,0.07400000000000001
5640-1,29.99,47.24,0.4,0.024
5641-1,64.99,204.65,2.032,0.067
5642-1,6.74,19.25,1.858,0.098
5643-1,6.99,12.07,0.792,0.07200000000000001
5644-1,10.99,47.33,2.9,0.102
5645-1,12.99,44.02,2.2640000000000002,0.078
5646-1,15.99,60.55,2.741,0.085
5647-1,26.99,144.25,4.345,0.13699999999999998
5648-1,54.99,223.22,3.135,0.111
5649-1,79.99,80.99,,
5650-1,17.99,250.55,13.287,0.203
565-1,20.24,757.47,36.431,0.064
5651-1,26.99,28.26,0.047,
565-2,,258.07,,
5652-1,54.99,162.0,2.001,0.11699999999999999
5653-1,79.99,321.75,2.9730000000000003,0.11599999999999999
5654-1,19.99,83.11,3.1069999999999998,0.083
5655-1,39.99,119.0,1.939,0.094
5656-1,29.99,42.07,0.247,0.026000000000000002
