,Set number,Name,Also known as,Set type,Theme group,Theme,Subtheme,Year released,Tags,Pieces,RRP,Current value,Price per piece,Age range,Packaging,Dimensions,Availability,Notes,Rating,Minifigs,Weight,Barcodes,Designer,Designers,LEGO item numbers
8146,6338-1,Hurricane Harbour,,Normal,Modern day,Town,Coastguard,1995,View tags »4X4AircraftBoatCarCoast GuardDolphinHarbourHelicopterLanding PadOctanOff RoaderPropeller AircraftRaised BaseplateSpeedboat ,364,$49.50,"
New: ~CA$203
Used: ~CA$84
",13.6c,,Box,,Retail,,✭✭✭✭✩ 3.9 32 ratings 3 Reviews,3,,EAN: 5702010963386,,,
8147,6339-1,Shuttle Launch Pad,,Normal,Modern day,Town,Launch Command,1995,View tags »BaseBaseplateCraneRoad BaseplateSatelliteScienceSolar PanelSpaceSpace Shuttle ,564,$66.00,"
New: ~CA$431
Used: ~CA$139
",11.7c,,Box,,Retail,Random set of the day on 15 May 2018,✭✭✭✭✭ 4.6 93 ratings 14 Reviews,4,,EAN: 5702010963393,,,
8148,6340-1,Hook & Ladder,,Normal,Modern day,Town,Fire,1994,View tags »Articulated LorryFire TruckTrailerTruck ,177,$20.00,"
New: ~CA$89
Used: ~CA$25
",11.3c,,Box,,Retail,,✭✭✭✭✩ 4.2 53 ratings 4 Reviews,2,,EAN: 5702010963409,,,
8149,634-1,Extra Bricks in Red,,Normal,Basic,Basic,Supplementaries,1996,View tags »,62,,"
New: ~CA$14
Used: ~CA$8
",,,Box,,Retail,,Not yet rated,,,,,,
8150,6341-1,Gas N' Go Flyer,,Normal,Modern day,Town,Flight,1994,View tags »AircraftCameraOctanPropeller AircraftTanker Vehicle ,106,$13.25,"
New: ~CA$57
Used: ~CA$17
",12.5c,,Box,,Retail,,✭✭✭✭✩ 3.8 49 ratings 3 Reviews,2,,,,,
8151,6342-1,Beach Rescue Chopper,Air Sea Rescue,Normal,Modern day,Town,Coastguard,1993,View tags »AircraftCatamaranCoast GuardHelicopterPropeller AircraftSurfing ,147,$17.50,"
New: ~CA$119
Used: ~CA$26
",11.9c,,Box,,Retail,,✭✭✭✭✩ 3.8 49 ratings 2 Reviews,3,,EAN: 5702010963423,,,
8152,6344-1,Jet Speed Justice,Coastal Patrol,Normal,Modern day,Town,Police,1993,View tags »AircraftBoatJet AircraftPolicePolice Boat ,157,$21.00,"
New: ~CA$141
Used: ~CA$19
",13.4c,,Box,,Retail,,✭✭✭✭✩ 4.0 49 ratings 4 Reviews,2,,,,,
8153,6345-1,Aerial Acrobats,The Fearless Eagles Air Show,Normal,Modern day,Town,Flight,1993,View tags »AircraftBiplanePropeller AircraftRestaurantStreet VendorTrailerVan ,351,$34.00,"
New: ~CA$219
Used: ~CA$56
",9.7c,,Box,,Retail,Random set of the day on 17 Feb 2018,✭✭✭✭✭ 4.4 42 ratings 7 Reviews,6,,,,,
8154,6346-1,Shuttle Launching Crew,Mercury Ii Shuttle Escort,Normal,Modern day,Town,Flight,1992,View tags »AircraftArticulated LorryCarMotorcycleSatelliteSpaceSpace ShuttleTrailerTransport VehicleTruck ,408,$38.50,"
New: ~CA$316
Used: ~CA$61
",9.4c,,Box,,Retail,,✭✭✭✭✩ 3.8 63 ratings 6 Reviews,5,,EAN: 5702010963461,,,
8155,6347-1,Monorail Accessory Track,,Normal,Modern day,Town,Monorail,1991,View tags »Monorail ,54,$35.00,"
New: ~CA$538
Used: ~CA$316
",64.8c,,Box,,Retail,Accessory track for set 6399., 2 Reviews,,,,,,
