,Dates,RRP,set_num,from,to
159,24 Apr 14 - 30 Dec 14,CA$21.99,5003579-1,24 Apr 14,30 Dec 14
160,05 Mar 14 - 30 Dec 14,CA$14.99,5003580-1,05 Mar 14,30 Dec 14
161,24 Apr 14 - 12 Nov 15,CA$21.99,5003583-1,24 Apr 14,12 Nov 15
162,24 Apr 14 - 16 Nov 15,CA$24.99,5004065-1,24 Apr 14,16 Nov 15
163,26 Apr 14 - 21 Jan 15,CA$11.99,5004066-1,26 Apr 14,21 Jan 15
164,19 Jun 14 - 11 Jan 16,CA$24.99,5004127-1,19 Jun 14,11 Jan 16
165,18 Nov 14 - 20 Jan 16,CA$29.99,5004129-1,18 Nov 14,20 Jan 16
166,19 Jun 14 - 11 Dec 15,CA$24.99,5004131-1,19 Jun 14,11 Dec 15
167,18 Oct 14 - 17 Oct 15,CA$16.99,5004248-1,18 Oct 14,17 Oct 15
168,18 Oct 14 - 21 Jan 15,CA$16.99,5004250-1,18 Oct 14,21 Jan 15
169,03 Aug 14 - 18 Mar 15,CA$16.99,5004281-1,03 Aug 14,18 Mar 15
170,18 Oct 14 - 29 Mar 15,CA$16.99,5004282-1,18 Oct 14,29 Mar 15
171,12 Sep 15 - 16 Aug 19,CA$24.99,5004602-1,12 Sep 15,16 Aug 19
172,15 Dec 15 - 28 Dec 18,CA$24.99,5004604-1,15 Dec 15,28 Dec 18
173,24 Jun 15 - 28 Oct 20,CA$24.99,5004607-1,24 Jun 15,28 Oct 20
174,02 Sep 15 - 15 Oct 16,CA$24.99,5004611-1,02 Sep 15,15 Oct 16
175,10 Sep 15 - 27 Jul 16,€9.09,5004751-1,10 Sep 15,27 Jul 16
176,10 Sep 15 - 01 Jun 16,€9.09,5004752-1,10 Sep 15,01 Jun 16
177,14 Nov 15 - 20 Dec 20,CA$39.99,5004892-1,14 Nov 15,20 Dec 20
178,04 Nov 15 - now,CA$24.99,5004893-1,04 Nov 15,now
179,14 Nov 15 - now,CA$49.99,5004895-1,14 Nov 15,now
180,09 Jun 16 - 25 Mar 20,CA$7.99,5005112-1,09 Jun 16,25 Mar 20
181,01 Jul 16 - 19 Jul 16,CA$49.99,5005141-1,01 Jul 16,19 Jul 16
182,09 Jun 16 - now,CA$55.99,5005145-1,09 Jun 16,now
183,01 Apr 17 - 02 Mar 19,CA$12.99,5005175-1,01 Apr 17,02 Mar 19
184,30 Sep 16 - 02 May 17,$18.99,5005182-1,30 Sep 16,02 May 17
185,01 Mar 17 - 08 Apr 19,CA$24.99,5005220-1,01 Mar 17,08 Apr 19
186,21 Mar 17 - 05 May 18,CA$29.99,5005222-1,21 Mar 17,05 May 18
187,01 Mar 17 - 23 Oct 19,CA$12.49,5005224-1,01 Mar 17,23 Oct 19
188,21 Mar 17 - 10 Dec 18,CA$29.99,5005228-1,21 Mar 17,10 Dec 18
189,02 Apr 17 - 01 Aug 18,CA$14.99,5005299-1,02 Apr 17,01 Aug 18
190,11 Apr 17 - 10 Dec 17,CA$14.99,5005317-1,11 Apr 17,10 Dec 17
191,02 Sep 17 - 31 Mar 18,$59.99,5005364-1,02 Sep 17,31 Mar 18
192,05 Aug 17 - 12 Jul 18,CA$14.99,5005392-1,05 Aug 17,12 Jul 18
193,14 Sep 17 - 12 Dec 20,CA$44.99,5005399-1,14 Sep 17,12 Dec 20
194,14 Sep 17 - now,CA$44.99,5005400-1,14 Sep 17,now
195,14 Sep 17 - now,CA$24.99,5005403-1,14 Sep 17,now
196,27 Nov 19 - 07 Mar 20,CA$24.99,5005471-1,27 Nov 19,07 Mar 20
197,20 Apr 18 - 06 Feb 20,CA$24.99,5005472-1,20 Apr 18,06 Feb 20
198,16 Aug 18 - now,CA$19.99,5005509-1,16 Aug 18,now
199,16 Aug 18 - now,CA$19.99,5005514-1,16 Aug 18,now
200,16 Aug 18 - now,CA$29.99,5005516-1,16 Aug 18,now
201,16 Aug 18 - now,CA$29.99,5005517-1,16 Aug 18,now
202,16 Aug 18 - now,CA$29.99,5005531-1,16 Aug 18,now
203,16 Aug 18 - now,CA$59.99,5005535-1,16 Aug 18,now
204,16 Aug 18 - now,CA$19.99,5005539-1,16 Aug 18,now
205,24 Nov 18 - 23 Oct 19,$7.49,5005571-1,24 Nov 18,23 Oct 19
206,17 Aug 18 - 07 Nov 18,€2.99,5005581-1,17 Aug 18,07 Nov 18
207,18 Apr 19 - 21 Mar 20,CA$29.99,5005699-1,18 Apr 19,21 Mar 20
208,17 Jan 20 - 11 Dec 20,CA$32.99,5005712-1,17 Jan 20,11 Dec 20
209,01 Mar 19 - 28 Apr 20,CA$5.99,5005765-1,01 Mar 19,28 Apr 20
210,03 Aug 19 - now,CA$15.49,5005770-1,03 Aug 19,now
211,17 Jan 20 - now,CA$38.99,5005772-1,17 Jan 20,now
212,17 Jan 20 - now,CA$65.00,5005810-1,17 Jan 20,now
213,17 Jan 20 - 09 Dec 20,CA$25.00,5005839-1,17 Jan 20,09 Dec 20
214,17 Jan 20 - 12 Dec 20,CA$52.99,5005873-1,17 Jan 20,12 Dec 20
215,17 Jan 20 - now,CA$15.99,5005892-1,17 Jan 20,now
216,04 Aug 19 - 07 Jul 20,€43.86,5005920-1,04 Aug 19,07 Jul 20
217,04 Aug 19 - 19 Aug 20,€11.69,5005926-1,04 Aug 19,19 Aug 20
218,02 Dec 20 - now,CA$34.99,5006357-1,02 Dec 20,now
219,24 Oct 07 - 11 Sep 08,£24.99,5419-1,24 Oct 07,11 Sep 08
220,24 Sep 10 - 20 Jan 12,CA$39.99,5539-1,24 Sep 10,20 Jan 12
221,03 Jun 09 - 11 Jun 10,£22.99,5546-1,03 Jun 09,11 Jun 10
222,28 Jul 08 - 14 Nov 09,£29.35,5572-1,28 Jul 08,14 Nov 09
223,02 Jan 08 - 03 Jul 09,£18.59,5583-1,02 Jan 08,03 Jul 09
224,07 Mar 09 - 09 Apr 10,£48.96,5589-1,07 Mar 09,09 Apr 10
225,24 Sep 10 - 22 May 11,CA$119.99,5595-1,24 Sep 10,22 May 11
226,24 Sep 10 - 22 May 11,CA$89.99,5639-1,24 Sep 10,22 May 11
227,24 Sep 10 - 20 Jan 12,CA$17.99,5650-1,24 Sep 10,20 Jan 12
228,28 Dec 10 - 01 Dec 13,£49.99,5681-1,28 Dec 10,01 Dec 13
229,28 Dec 10 - 05 Nov 12,£25.99,5749-1,28 Dec 10,05 Nov 12
230,06 Oct 11 - 12 Nov 13,CA$49.99,5767-1,06 Oct 11,12 Nov 13
231,23 Aug 11 - 20 Jan 12,CA$109.99,5795-1,23 Aug 11,20 Jan 12
232,31 May 11 - 20 Jan 12,CA$49.99,5839-1,31 May 11,20 Jan 12
233,11 Nov 11 - 08 Nov 12,CA$14.99,5882-1,11 Nov 11,08 Nov 12
234,31 May 11 - 07 Feb 12,CA$39.99,5947-1,31 May 11,07 Feb 12
235,01 Dec 12 - 13 Jan 15,CA$59.99,60009-1,01 Dec 12,13 Jan 15
236,29 May 13 - 22 Feb 15,CA$49.99,60013-1,29 May 13,22 Feb 15
237,26 May 14 - 21 Jan 16,CA$109.99,60036-1,26 May 14,21 Jan 16
238,01 Dec 13 - 26 Dec 15,CA$39.99,60060-1,01 Dec 13,26 Dec 15
239,22 May 16 - 23 Nov 17,CA$109.99,60103-1,22 May 16,23 Nov 17
240,01 Aug 16 - 19 Aug 17,CA$179.99,60125-1,01 Aug 16,19 Aug 17
241,29 May 17 - 10 Dec 18,CA$12.99,60157-1,29 May 17,10 Dec 18
242,29 May 17 - 29 Dec 18,CA$29.99,60164-1,29 May 17,29 Dec 18
243,26 Nov 17 - 05 Feb 20,CA$24.99,60181-1,26 Nov 17,05 Feb 20
244,02 Jun 18 - 02 Dec 19,CA$49.99,60202-1,02 Jun 18,02 Dec 19
245,01 Sep 19 - 14 Nov 20,CA$119.99,60203-1,01 Sep 19,14 Nov 20
246,02 Jul 18 - 05 Dec 20,CA$19.99,60238-1,02 Jul 18,05 Dec 20
247,08 Sep 11 - 10 Dec 11,£40.99,6131-1,08 Sep 11,10 Dec 11
248,24 Oct 07 - 02 Dec 09,£34.25,6167-1,24 Oct 07,02 Dec 09
249,24 Sep 10 - 05 Dec 11,CA$24.99,6176-1,24 Sep 10,05 Dec 11
250,20 Dec 11 - 23 Aug 12,CA$11.99,6200-2,20 Dec 11,23 Aug 12
251,24 Sep 10 - 22 May 11,CA$119.99,6243-1,24 Sep 10,22 May 11
252,24 Sep 10 - 22 Jan 11,$19.99,66373-1,24 Sep 10,22 Jan 11
253,08 Apr 12 - 02 Dec 13,CA$24.99,6866-1,08 Apr 12,02 Dec 13
254,19 May 15 - 15 Aug 15,$99.99,70173-1,19 May 15,15 Aug 15
255,24 Oct 07 - 15 Dec 07,£34.99,7018-1,24 Oct 07,15 Dec 07
256,02 Aug 19 - 19 Oct 20,CA$99.99,70424-1,02 Aug 19,19 Oct 20
257,02 Aug 19 - 14 Nov 20,CA$159.99,70425-1,02 Aug 19,14 Nov 20
258,01 Aug 17 - 07 Aug 18,CA$24.99,70607-1,01 Aug 17,07 Aug 18
259,01 Aug 17 - 27 Nov 18,CA$39.99,70608-1,01 Aug 17,27 Nov 18
