set_num,Retail,Value,Growth,Annual growth,Available at,Not yet
10157-1,C$33.74,C$248.68,637.1%,7.4%,,
10158-1,C$33.74,C$224.51,565.5%,7.1%,,
10159-1,C$121.49,"C$1,147.34",844.4%,11.3%,,
10160-1,C$8.09,C$39.92,393.7%,10.5%,,
10161-1,C$8.09,C$20.10,148.6%,5.9%,,
10162-1,C$8.09,C$27.03,234.2%,7.8%,,
10163-1,C$8.09,C$20.03,147.7%,5.8%,,
10165-1,C$3.36,C$10.80,221.3%,4.9%,,
10166-1,C$3.36,C$22.21,560.6%,9.6%,,
10167-1,,C$115.10,,21.5%,,
10168-1,C$5.39,C$15.86,194.5%,5.9%,,
10169-1,C$5.39,C$13.50,150.6%,4.9%,,
10170-1,C$53.99,C$337.95,526.0%,8.3%,,
10173-1,C$121.49,C$715.99,489.4%,6.8%,,
10174-1,C$107.99,C$707.71,555.4%,7.9%,,
10175-1,C$134.99,"C$1,415.91",948.9%,10.2%,,
10176-1,C$134.99,C$494.22,266.1%,7.4%,,
10177-1,C$119.99,"C$1,322.89",1125.1%,13.1%,,
10178-1,C$159.99,C$781.64,345.4%,7.6%,,
10179-1,C$674.99,"C$4,048.92",499.9%,22.1%,,
10181-1,C$269.99,"C$3,206.25",1087.6%,11.6%,,
10182-1,C$188.99,"C$3,143.46",1563.3%,12.8%,,
10183-1,C$134.99,C$658.65,387.9%,8.0%,,
10184-1,C$202.49,C$541.40,167.4%,6.0%,,
10185-1,C$219.99,"C$1,662.38",721.0%,11.9%,,
10186-1,C$121.49,C$336.14,176.7%,6.5%,,
10187-1,C$161.99,C$874.07,439.6%,7.0%,,
10188-1,C$499.99,C$680.47,26.0%,4.7%,,
10189-1,C$399.99,"C$1,571.47",288.0%,18.0%,,
10190-1,C$121.49,"C$3,035.23",2398.4%,13.4%,,
10191-1,C$134.99,C$175.04,29.7%,2.5%,,
10192-1,C$134.99,C$107.99,,,,
10193-1,C$134.99,C$371.24,175.0%,12.2%,,
10194-1,C$129.99,C$872.07,546.0%,13.0%,,
10195-1,C$349.99,"C$1,831.72",442.8%,14.4%,,
10196-1,C$349.99,"C$3,658.49",984.0%,22.7%,,
10197-1,C$199.99,C$668.25,230.0%,18.4%,,
10198-1,C$199.99,C$471.74,133.0%,6.6%,,
10199-1,C$79.99,C$262.78,224.5%,12.5%,,
10-2,C$2.70,C$153.94,5601.5%,8.6%,,
10200-1,C$94.49,C$201.50,113.3%,4.1%,,
1020-1,,,,,,
10201-1,C$67.49,C$161.16,138.8%,5.3%,,
10202-1,C$67.49,C$346.82,413.9%,5.7%,,
10203-1,C$67.49,C$423.00,526.8%,12.6%,,
10204-1,C$67.49,C$539.16,698.9%,16.0%,,
10205-1,C$32.39,C$379.67,1072.3%,14.7%,,
102-1,,C$347.02,,,,
10210-1,C$229.99,"C$1,254.83",416.4%,11.5%,,
1021-1,,,,,,
10211-1,C$199.99,C$534.28,163.9%,16.9%,,
10212-1,C$309.99,"C$1,164.38",231.7%,15.0%,,
10213-1,C$129.99,C$742.49,450.0%,14.5%,,
10214-1,C$299.99,C$378.00,16.7%,13.2%,,
10215-1,C$129.99,C$380.44,181.8%,10.3%,,
10216-1,C$74.99,C$446.31,501.2%,15.6%,,
10217-1,C$199.99,C$781.65,286.0%,16.4%,,
10218-1,C$199.99,C$318.33,57.2%,11.7%,,
10219-1,C$154.99,C$622.34,284.2%,10.6%,,
10220-1,C$129.99,C$210.55,30.0%,2.9%,,
1022-1,,,,,,
10221-1,C$499.99,"C$1,283.69",137.7%,6.6%,,
10222-1,C$79.99,C$609.90,545.5%,15.8%,,
10223-1,C$149.99,C$362.97,124.1%,13.2%,,
10224-1,C$249.99,"C$1,071.55",296.9%,19.1%,,
10225-1,C$229.99,C$576.72,137.3%,15.1%,,
10226-1,C$129.99,C$267.57,98.2%,9.5%,,
10227-1,C$249.99,C$650.69,141.0%,15.7%,,
10228-1,C$199.99,C$674.99,177.8%,13.6%,,
10229-1,C$129.99,C$511.65,279.0%,16.7%,,
102-3,,C$201.77,,,,
10230-1,C$99.99,C$230.81,113.7%,6.7%,,
1023-1,C$13.49,,,,,
10231-1,C$129.99,C$825.58,511.6%,14.8%,,
10232-1,C$199.99,C$370.35,82.9%,21.6%,,
10233-1,C$149.99,C$352.35,100.8%,9.3%,,
10234-1,C$379.99,C$539.99,25.0%,5.6%,,
10235-1,C$129.99,C$251.06,86.0%,10.8%,,
10236-1,C$299.99,C$578.99,71.6%,10.3%,,
10237-1,C$249.99,C$519.70,92.5%,13.4%,,
10240-1,C$249.99,C$499.77,85.1%,8.9%,,
1024-1,,,,,,
10241-1,C$179.99,C$404.08,99.6%,15.1%,,
10242-1,C$119.99,C$268.89,99.2%,30.4%,,
10243-1,C$189.99,C$371.25,71.9%,30.4%,,
10244-1,C$179.99,C$307.73,52.0%,6.8%,,
10245-1,C$89.99,C$349.53,269.9%,30.4%,,
10246-1,C$199.99,C$505.44,134.0%,30.4%,,
10247-1,C$229.99,C$513.68,90.3%,30.4%,,
10248-1,C$119.99,C$370.31,174.3%,26.6%,,
10249-1,C$99.99,C$269.99,150.0%,30.4%,,
10250-1,C$67.49,C$172.00,154.9%,6.3%,,
1025-1,,,,,,
10251-1,C$219.99,C$589.63,156.9%,30.4%,,
10252-1,C$129.99,,,,retail,
10253-1,C$299.99,C$540.00,60.0%,14.3%,,
10254-1,C$129.99,C$209.68,55.3%,32.4%,,
10255-1,C$339.99,,,,retail,
10256-1,C$449.99,,,,retail,
10257-1,C$249.99,C$464.85,72.2%,22.5%,,
10258-1,C$179.99,,,,retail,
10259-1,C$99.99,C$229.45,112.5%,33.4%,,
10260-1,C$219.99,,,,retail,
1026-1,,,,,,
10261-1,C$479.99,,,,retail,
10262-1,C$179.99,,,,retail,
10263-1,C$129.99,,,,retail,
10264-1,C$269.99,,,,retail,
10265-1,C$199.99,,,,retail,
10266-1,C$139.99,,,,retail,
10267-1,C$139.99,,,,retail,
10268-1,C$249.99,C$351.57,30.2%,,,
10269-1,C$139.99,,,,retail,
10270-1,C$199.99,,,,retail,
1027-1,,,,,,
10271-1,C$129.99,,,,retail,
10272-1,C$349.99,,,,retail,
10273-1,C$299.99,,,,retail,
10274-1,C$259.99,,,,retail,
10275-1,C$139.99,,,,retail,
10276-1,C$649.99,,,,retail,
10277-1,C$139.99,,,,retail,
10278-1,C$259.99,,,,retail,
10280-1,C$69.99,,,,retail,
1028-1,,,,,,
