set_num,Retail,Value,Growth,Annual growth,Available at,Not yet
5280-1,C$4.39,C$4.05,,,,
528-1,,C$32.16,,,,
5281-1,C$5.39,C$8.52,58.1%,1.8%,,
5282-1,C$8.09,C$27.00,233.9%,4.7%,,
5283-1,C$5.39,C$9.63,78.7%,2.3%,,
5284-1,C$5.39,C$34.37,538.1%,7.4%,,
5285-1,C$6.06,C$8.17,34.7%,1.2%,,
5286-1,C$6.06,C$12.93,113.4%,3.0%,,
5287-1,C$5.39,C$12.78,137.3%,3.2%,,
5288-1,,C$14.23,,,,
5289-1,C$6.06,C$11.31,86.6%,2.6%,,
5290-1,C$4.71,C$16.15,242.7%,5.3%,,
529-1,,,,,,
5291-1,C$4.04,C$4.16,3.0%,,,
5292-1,C$17.54,C$34.37,96.0%,2.8%,,
5293-1,C$16.54,C$44.98,172.0%,4.3%,,
5294-1,C$5.39,C$5.78,7.3%,,,
5295-1,C$5.39,C$13.96,159.1%,5.1%,,
5300-1,C$33.74,C$160.23,374.9%,5.8%,,
530-1,,C$154.58,,,,
5301-1,C$4.04,C$31.17,672.2%,8.4%,,
530-2,,,,,,
5302-1,C$2.69,C$17.89,565.8%,7.8%,,
5303-1,C$4.04,C$15.01,271.9%,4.8%,,
5304-1,C$4.04,C$8.44,109.0%,2.7%,,
5305-1,C$8.09,C$69.09,754.4%,8.0%,,
5306-1,C$5.39,,,,,
5307-1,C$5.39,C$34.21,535.1%,6.8%,,
5308-1,C$3.04,C$14.36,372.9%,6.2%,,
5309-1,C$4.04,C$39.30,873.6%,7.3%,,
5310-1,C$6.74,C$23.42,247.7%,4.5%,,
531-1,,,,,,
5311-1,C$4.04,C$28.92,616.4%,7.9%,,
5313-1,C$4.04,C$18.50,358.2%,8.1%,,
5314-1,C$4.04,C$19.43,381.3%,5.2%,,
5315-1,C$4.04,C$19.05,371.9%,11.6%,,
5316-1,C$4.71,C$20.06,325.8%,7.1%,,
5317-1,C$5.74,C$28.12,390.1%,7.9%,,
5318-1,C$4.04,C$17.40,331.1%,3.8%,,
5319-1,C$4.04,C$14.18,251.2%,4.1%,,
5320-1,C$5.39,C$13.45,149.6%,2.4%,,
532-1,,,,,,
5321-1,C$5.39,,,,,
5322-1,C$24.29,,,,,
5327-1,C$22.94,,,,,
533-1,,C$50.21,,,,
533-2,C$1.49,C$62.94,4138.2%,9.1%,,
5339-1,C$24.29,,,,,
534-1,,C$119.14,,,,
5342-1,C$10.79,,,,,
5349-1,C$33.74,C$80.15,137.6%,5.9%,,
5350-1,C$26.99,,,,,
535-1,,C$64.95,,,,
5351-1,C$26.99,,,,,
535-2,C$2.03,C$52.69,2502.0%,7.9%,,
5352-1,C$26.99,,,,,
5352-2,C$26.99,C$102.10,278.3%,9.3%,,
5353-1,C$33.74,,,,,
5354-1,C$16.19,,,,,
5355-1,C$13.49,C$142.44,956.2%,15.9%,,
5356-1,C$20.24,C$104.85,418.1%,10.8%,,
5357-1,C$26.99,C$117.60,335.8%,9.6%,,
5358-1,C$33.74,C$80.95,139.9%,5.6%,,
5359-1,C$20.24,C$184.68,812.6%,14.8%,,
536-1,,C$91.33,,,,
5361-1,C$33.74,C$58.23,72.6%,3.7%,,
5363-1,C$33.74,C$212.56,530.1%,13.1%,,
5367-1,C$14.84,,,,,
5369-1,C$26.99,C$163.61,506.3%,12.8%,,
5370-1,C$26.99,C$162.24,501.2%,12.7%,,
537-1,,C$50.60,,,,
5371-1,C$16.19,,,,,
537-2,,C$180.62,,,,
5378-1,C$121.49,"C$1,084.39",792.6%,10.6%,,
5380-1,C$40.49,~C$40.49,,,,
5380-2,C$40.49,C$63.18,56.1%,3.8%,,
5381-1,C$5.39,C$29.85,454.1%,4.1%,,
5382-1,C$5.39,C$21.65,302.0%,6.5%,,
5383-1,C$4.04,C$35.72,784.9%,10.4%,,
5384-1,C$6.06,C$15.86,161.7%,3.5%,,
5385-1,C$17.54,C$31.24,78.1%,3.7%,,
5386-1,C$4.04,C$36.40,801.7%,10.5%,,
5387-1,C$4.71,C$9.34,98.3%,3.3%,,
5388-1,C$4.04,C$31.41,678.3%,9.8%,,
5389-1,C$6.06,C$24.49,304.0%,3.2%,,
5390-1,C$5.39,C$13.19,144.9%,4.2%,,
5391-1,C$6.74,C$40.41,499.8%,10.5%,,
5392-1,C$6.74,C$63.65,844.9%,5.1%,,
5393-1,C$4.04,C$18.67,362.5%,7.9%,,
5394-1,C$6.06,C$39.42,550.3%,8.5%,,
5395-1,C$4.04,C$11.38,181.9%,12.3%,,
5396-1,C$4.71,C$11.00,133.5%,3.6%,,
5397-1,C$5.39,C$61.56,1042.9%,10.7%,,
5398-1,C$5.74,C$25.19,339.1%,6.4%,,
5399-1,C$4.39,C$22.67,416.6%,8.1%,,
5400-1,C$5.39,C$19.99,271.2%,6.1%,,
540-1,,C$194.04,,,,
5401-1,C$5.39,C$66.10,1127.1%,12.1%,,
540-2,C$5.74,C$350.00,6000.2%,10.6%,,
5402-1,C$8.09,,,,,
540-3,C$21.59,C$654.12,2930.2%,14.1%,,
5403-1,C$13.49,,,,,
5404-1,C$53.99,C$109.35,102.6%,3.3%,,
5405-1,C$8.09,,,,,
54-1,C$10.79,C$245.85,2179.2%,14.6%,,
5410-1,C$109.99,C$167.22,23.9%,5.5%,,
5412-1,C$6.99,,,,retail,
5413-1,C$5.74,C$25.16,338.6%,7.3%,,
5414-1,C$5.74,C$49.77,767.5%,10.8%,,
5415-1,C$5.39,C$13.27,146.4%,10.4%,,
5416-1,C$17.99,C$107.99,433.6%,13.7%,,
5417-1,C$67.49,,,,,
5419-1,C$40.49,C$58.33,44.1%,2.8%,,
542-1,C$5.39,C$174.27,3135.3%,8.9%,,
5421-1,C$2.69,C$18.12,574.4%,11.2%,,
5433-1,C$10.79,C$24.30,125.3%,4.4%,,
5437-1,C$2.69,C$7.41,175.9%,3.1%,,
544-1,C$12.81,,,,,
545-1,,,,,,
545-2,C$4.04,C$509.15,12513.7%,10.6%,,
5461-1,C$17.54,~C$17.54,,,,
5470-1,C$13.49,C$114.55,749.3%,16.5%,,
547-1,,C$742.50,,,,
5475-1,C$10.79,C$217.28,1914.4%,19.7%,,
5476-1,C$17.54,C$110.21,528.5%,13.0%,,
5477-1,C$20.24,C$46.86,131.6%,6.2%,,
5480-1,C$26.99,C$73.82,173.5%,8.0%,,
5481-1,C$33.74,C$132.30,292.2%,10.3%,,
5482-1,C$33.74,C$41.51,23.0%,1.5%,,
5483-1,C$33.74,C$55.88,65.6%,3.7%,,
5485-1,,C$12.39,,4.7%,,
5485-2,,C$12.39,,9.0%,,
5485-3,,C$12.39,,9.0%,,
5485-4,,C$12.39,,9.0%,,
5485-5,,C$12.39,,9.0%,,
5486-1,C$39.99,C$94.49,133.4%,6.6%,,
5487-1,C$39.99,C$52.25,29.0%,2.7%,,
5488-1,C$64.99,C$202.37,274.8%,14.3%,,
5489-1,C$64.99,C$80.31,32.2%,3.1%,,
5490-1,C$37.13,C$61.05,64.4%,5.7%,,
5491-1,C$53.99,C$222.22,311.6%,10.6%,,
5492-1,C$26.99,C$60.25,123.2%,,,
5493-1,C$40.49,C$107.93,166.6%,7.8%,,
5494-1,,C$3.29,,10.6%,,
5497-1,C$34.99,C$63.15,87.2%,5.9%,,
55001-1,C$13.49,C$38.46,185.2%,5.4%,,
550-1,C$56.70,C$364.03,542.0%,5.5%,,
550-2,C$20.24,C$729.00,3502.4%,8.5%,,
5503-1,C$13.49,,,,,
5504-1,C$13.49,,,,,
5506-1,C$29.99,C$150.89,272.7%,13.5%,,
5507-1,C$49.99,C$269.87,299.9%,10.8%,,
5508-1,C$59.99,C$530.12,685.5%,20.6%,,
5509-1,C$17.54,C$97.62,456.7%,25.7%,,
5510-1,C$33.74,C$405.77,1102.8%,5.6%,,
551-1,C$5.06,C$78.88,1458.1%,6.9%,,
5511-1,C$39.99,C$271.35,570.2%,26.8%,,
5512-1,C$80.99,C$130.76,61.5%,5.9%,,
5513-1,C$53.99,,,,,
5514-1,C$17.54,,,,,
5515-1,C$16.19,C$37.30,130.4%,12.9%,,
5516-1,C$53.99,C$86.85,60.9%,3.7%,,
5517-1,C$26.99,,,,,
5518-1,C$26.99,,,,,
5519-1,C$33.74,C$108.00,220.1%,9.4%,,
552-1,C$5.06,C$139.35,2652.5%,8.4%,,
5521-1,C$49.26,C$164.01,232.9%,4.6%,,
5522-1,C$53.99,C$104.10,92.8%,5.5%,,
5524-1,C$53.99,C$112.77,108.9%,5.0%,,
5525-1,C$94.49,C$140.00,48.2%,8.7%,,
5526-1,C$175.49,"C$1,201.46",584.6%,7.3%,,
5527-1,C$26.99,,,,,
5528-1,C$26.99,C$65.48,142.6%,7.1%,,
5529-1,C$17.54,C$59.24,237.8%,12.3%,,
553-1,C$6.74,C$142.11,2009.6%,7.7%,,
5531-1,C$5.39,C$51.07,848.1%,16.2%,,
5532-1,,,,,,
5533-1,C$67.49,C$110.46,63.7%,2.6%,,
5536-1,C$26.99,,,,,
5537-1,C$26.99,,,,,
5538-1,C$39.99,C$103.59,155.9%,11.4%,,
5539-1,C$39.99,C$161.99,300.1%,8.0%,,
5540-1,C$53.99,C$337.50,525.2%,3.1%,,
554-1,C$5.25,C$419.85,7894.9%,7.0%,,
5541-1,C$53.33,C$341.60,540.6%,7.9%,,
5542-1,C$53.99,C$265.48,391.7%,7.5%,,
5543-1,C$26.99,C$202.37,649.9%,12.8%,,
5544-1,C$67.49,C$646.07,857.3%,12.9%,,
5545-1,C$26.99,C$94.37,249.7%,9.7%,,
5546-1,C$40.49,C$917.58,2166.4%,14.2%,,
5547-1,C$40.49,C$242.87,499.9%,12.9%,,
5548-1,C$39.99,C$208.95,416.1%,17.0%,,
5549-1,C$39.99,C$172.22,325.4%,14.2%,,
5550-1,C$66.83,C$709.75,962.1%,10.6%,,
555-1,C$20.24,C$728.88,3501.8%,8.5%,,
555-2,C$17.54,C$112.13,539.4%,4.9%,,
5552-1,C$26.99,C$345.47,1180.1%,10.7%,,
5554-1,C$40.49,C$248.05,512.7%,7.6%,,
5555-1,C$20.24,C$242.87,1100.1%,8.2%,,
55555-1,,C$10.75,,35.4%,,
5556-1,C$13.49,C$312.12,2214.3%,16.0%,,
5560-1,C$39.99,C$81.54,101.4%,10.9%,,
556-1,C$5.74,C$266.45,4544.0%,9.8%,,
5561-1,C$118.80,C$477.91,302.3%,6.2%,,
5563-1,C$107.99,C$682.01,531.6%,7.8%,,
557-1,,,,,,
5571-1,C$187.65,"C$2,254.35",1101.4%,10.9%,,
5572-1,C$60.74,C$316.71,421.4%,15.2%,,
5573-1,C$60.74,,,,,
5574-1,C$17.99,C$20.51,16.9%,1.6%,,
5575-1,C$20.24,C$33.44,65.2%,4.3%,,
5576-1,C$26.99,C$36.67,35.9%,3.1%,,
5577-1,C$22.94,C$49.22,114.6%,6.5%,,
5578-1,C$26.99,,,,,
5580-1,C$107.99,C$551.64,410.8%,3.3%,,
558-1,C$9.38,C$390.11,4057.8%,9.5%,,
5581-1,C$106.65,C$633.31,493.8%,6.8%,,
5582-1,C$67.49,C$97.01,43.7%,3.1%,,
5583-1,C$40.49,C$70.75,74.8%,5.0%,,
5584-1,C$40.49,C$61.44,51.8%,3.6%,,
5585-1,C$21.99,C$74.13,174.7%,7.6%,,
5586-1,C$20.24,C$53.85,166.1%,9.3%,,
5587-1,C$26.99,C$82.73,206.6%,10.0%,,
5588-1,C$80.99,C$151.28,86.8%,6.1%,,
5589-1,C$80.99,C$86.55,6.9%,,,
5590-1,C$107.99,"C$1,898.71",1658.3%,9.4%,,
5591-1,C$148.49,C$819.34,451.8%,3.6%,,
5592-1,C$19.99,C$40.73,101.3%,7.3%,,
5593-1,C$69.99,C$352.82,422.8%,14.1%,,
5594-1,C$64.99,C$263.25,290.1%,14.5%,,
5595-1,C$119.99,C$354.09,191.5%,8.1%,,
5596-1,C$17.54,C$104.96,498.5%,16.8%,,
5597-1,C$33.74,C$202.86,501.3%,14.2%,,
5598-1,C$67.49,C$491.24,627.9%,8.3%,,
5599-1,C$107.99,C$407.27,277.1%,7.2%,,
5600-1,C$107.99,C$330.60,206.2%,3.7%,,
560-1,C$26.93,"C$1,654.59",6043.5%,10.6%,,
5601-1,C$79.99,C$264.83,227.0%,7.4%,,
560-2,C$21.59,C$515.62,2288.6%,6.8%,,
5602-1,C$59.99,C$103.59,91.9%,8.5%,,
5603-1,C$9.99,C$24.18,99.2%,8.0%,,
5604-1,C$49.99,C$121.12,124.4%,4.8%,,
5605-1,C$33.74,C$67.37,99.7%,4.8%,,
5606-1,C$17.99,C$47.24,105.9%,4.5%,,
5607-1,C$22.94,C$55.49,141.9%,8.5%,,
5608-1,C$89.99,C$358.97,343.2%,11.9%,,
5609-1,C$159.99,C$320.06,97.6%,7.9%,,
5610-1,C$4.71,C$12.19,158.7%,8.6%,,
5611-1,C$4.71,C$8.05,70.8%,4.7%,,
5612-1,C$4.71,C$8.30,76.2%,5.5%,,
5613-1,C$4.71,C$6.75,43.3%,3.3%,,
561407-1,,C$6.16,,7.2%,,
561408-1,,C$4.94,,8.2%,,
561409-1,,C$4.82,,4.1%,,
5614-1,C$4.71,C$24.69,424.1%,9.4%,,
561410-1,,C$6.28,,10.2%,,
561411-1,,C$4.24,,6.1%,,
561412-1,,C$4.66,,7.9%,,
561501-1,,C$5.51,,3.2%,,
561502-1,,C$6.02,,7.6%,,
561503-1,,C$5.35,,5.2%,,
561504-1,,C$4.94,,11.8%,,
561505-1,,C$5.78,,9.9%,,
561506-1,,C$6.35,,11.3%,,
561507-1,,C$4.47,,12.6%,,
561508-1,,C$5.02,,5.3%,,
561509-1,,C$4.94,,9.2%,,
5615-1,C$4.71,C$24.69,424.1%,12.5%,,
561510-1,,C$5.29,,13.4%,,
561511-1,,C$5.01,,1.7%,,
561512-1,,C$6.33,,2.2%,,
561601-1,,C$5.31,,7.8%,,
561602-1,,C$7.25,,2.7%,,
561603-1,,C$5.39,,13.3%,,
561605-1,,C$4.58,,8.5%,,
561606-1,,C$6.14,,6.8%,,
561607-1,,C$5.28,,7.7%,,
561608-1,,C$5.18,,5.0%,,
561609-1,,C$4.93,,12.7%,,
5616-1,C$4.71,C$22.61,379.9%,10.4%,,
561610-1,,C$4.81,,4.6%,,
561611-1,,C$6.35,,3.7%,,
561612-1,,C$6.51,,2.0%,,
561701-1,,C$4.94,,7.0%,,
561702-1,,C$4.62,,6.0%,,
561703-1,,C$3.29,,13.1%,,
561704-1,,C$3.58,,15.4%,,
561705-1,,C$6.30,,6.8%,,
561706-1,,C$6.76,,1.0%,,
5617-1,C$4.71,C$35.19,647.0%,11.8%,,
561801-1,,C$4.14,,7.1%,,
561802-1,,C$4.71,,11.4%,,
561803-1,,C$3.74,,8.2%,,
561804-1,,C$6.18,,8.2%,,
561805-1,,C$5.05,,9.2%,,
561806-1,,C$5.68,,2.2%,,
561807-1,,C$5.68,,9.2%,,
561808-1,,C$5.24,,11.5%,,
561809-1,,C$5.83,,5.0%,,
5618-1,C$4.71,C$16.48,249.9%,9.7%,,
561810-1,,C$3.09,,10.2%,,
561811-1,,C$4.93,,1.2%,,
561901-1,,C$5.05,,4.2%,,
561902-1,,C$4.27,,1.2%,,
561903-1,,C$5.83,,2.2%,,
561904-1,,C$5.63,,3.2%,,
561905-1,,C$3.65,,8.2%,,
561906-1,,C$3.52,,2.2%,,
561907-1,,C$4.27,,10.2%,,
561908-1,,C$5.40,,2.2%,,
561909-1,,C$5.37,,1.2%,,
5619-1,C$4.71,C$22.91,386.2%,14.3%,,
561910-1,,C$3.98,,2.2%,,
561911-1,,C$6.33,,3.2%,,
562001-1,,C$5.62,,9.2%,,
562002-1,,C$5.91,,7.2%,,
562003-1,,C$5.08,,7.2%,,
562004-1,,C$5.24,,8.2%,,
562005-1,,C$6.17,,1.2%,,
562006-1,,C$5.74,,4.2%,,
562007-1,,C$9.05,,5.2%,,
562008-1,,C$6.93,,3.2%,,
562009-1,,C$6.26,,9.2%,,
5620-1,C$4.71,C$13.00,175.9%,4.9%,,
562010-1,,C$6.36,,9.2%,,
562011-1,,C$7.98,,8.2%,,
5621-1,C$4.71,C$14.53,208.3%,7.0%,,
5622-1,C$19.99,C$28.08,4.1%,,,
5623-1,C$22.94,C$30.92,34.8%,3.8%,,
5625-1,,C$7.70,,9.0%,,
5626-1,C$6.74,C$24.23,259.7%,6.2%,,
5627-1,,C$16.34,,6.5%,,
5632-1,C$9.99,C$13.50,25.2%,2.2%,,
5633-1,C$39.99,C$78.48,93.8%,4.7%,,
5634-1,C$64.99,C$704.48,943.9%,16.9%,,
5635-1,C$129.99,C$220.56,81.6%,4.7%,,
5636-1,C$29.99,C$165.36,390.2%,13.6%,,
5637-1,C$19.99,C$124.47,442.7%,10.9%,,
5638-1,C$12.99,C$115.26,754.7%,18.7%,,
5639-1,C$89.99,C$475.75,403.5%,7.4%,,
5640-1,C$29.99,C$47.24,40.0%,2.4%,,
5641-1,C$64.99,C$204.65,203.2%,6.7%,,
5642-1,C$6.74,C$19.25,185.8%,9.8%,,
5643-1,C$6.99,C$12.07,79.2%,7.2%,,
5644-1,C$10.99,C$47.33,290.0%,10.2%,,
5645-1,C$12.99,C$44.02,226.4%,7.8%,,
5646-1,C$15.99,C$60.55,274.1%,8.5%,,
5647-1,C$26.99,C$144.25,434.5%,13.7%,,
5648-1,C$54.99,C$223.22,313.5%,11.1%,,
5649-1,C$79.99,~C$80.99,,,,
5650-1,C$17.99,C$250.55,1328.7%,20.3%,,
565-1,C$20.24,C$757.47,3643.1%,6.4%,,
5651-1,C$26.99,C$28.26,4.7%,,,
565-2,,C$258.07,,,,
5652-1,C$54.99,C$162.00,200.1%,11.7%,,
5653-1,C$79.99,C$321.75,297.3%,11.6%,,
5654-1,C$19.99,C$83.11,310.7%,8.3%,,
5655-1,C$39.99,C$119.00,193.9%,9.4%,,
5656-1,C$29.99,C$42.07,24.7%,2.6%,,
5657-1,C$19.99,C$76.26,276.9%,11.7%,,
5658-1,C$26.99,C$120.08,345.0%,12.6%,,
5659-1,C$39.99,C$188.49,299.0%,9.3%,,
566-1,C$35.09,C$445.53,1169.8%,6.7%,,
5678-1,C$6.99,C$40.37,499.2%,11.9%,,
5679-1,C$12.99,C$67.50,400.5%,21.7%,,
5680-1,C$24.99,C$176.84,555.3%,18.3%,,
5681-1,C$67.49,C$170.86,153.2%,14.0%,,
5682-1,C$39.99,C$132.91,228.3%,16.2%,,
5683-1,C$29.99,C$53.26,57.9%,4.5%,,
5684-1,C$39.99,C$126.24,211.8%,17.5%,,
5685-1,C$6.99,C$13.16,95.4%,5.1%,,
5691-1,C$54.99,C$121.82,125.7%,5.5%,,
5695-1,C$74.99,C$180.43,122.8%,11.3%,,
5696-1,C$29.99,C$83.78,148.3%,6.5%,,
5700-1,C$33.25,~C$33.74,,,,
570-1,C$12.54,C$378.08,2914.6%,7.4%,,
5701-1,C$33.25,,,,retail,
5706-1,C$14.99,,,,retail,
5714-1,C$32.99,~C$33.74,,,,
5748-1,C$20.24,C$79.52,292.9%,10.4%,,
5749-1,C$33.74,C$61.32,81.8%,3.6%,,
575-1,C$17.54,C$952.20,5329.8%,10.0%,,
5761-1,C$6.99,C$14.27,76.5%,7.4%,,
5762-1,C$6.99,C$15.86,96.2%,8.6%,,
5763-1,C$17.99,C$32.45,85.1%,4.1%,,
5764-1,C$19.99,C$61.30,167.3%,8.7%,,
5765-1,C$24.99,C$65.15,141.4%,9.8%,,
5766-1,C$39.99,C$67.58,66.9%,6.8%,,
5767-1,C$49.99,C$67.89,25.8%,3.3%,,
5770-1,C$49.99,C$115.21,113.4%,4.6%,,
577-1,C$51.29,C$225.03,338.8%,3.9%,,
5771-1,C$89.99,C$155.52,64.6%,6.4%,,
5793-1,C$12.99,C$121.43,800.4%,22.1%,,
5794-1,C$29.99,C$180.40,434.7%,16.9%,,
5795-1,C$109.99,C$282.38,132.4%,9.9%,,
580-1,,C$656.07,,,,
5801-1,C$4.04,C$27.61,583.9%,8.6%,,
5802-1,C$9.44,C$31.36,232.3%,5.9%,,
5803-1,C$9.44,C$64.80,586.7%,9.7%,,
5804-1,C$13.49,C$66.14,390.4%,7.9%,,
5805-1,C$33.74,C$63.46,88.1%,3.1%,,
5807-1,C$40.49,C$194.33,380.0%,7.8%,,
5808-1,C$80.99,C$302.63,273.7%,6.5%,,
5810-1,C$7.41,C$20.86,181.4%,4.2%,,
5811-1,C$9.44,C$21.02,122.7%,3.5%,,
5812-1,C$9.44,C$14.22,50.6%,6.8%,,
5813-1,C$19.99,C$82.00,305.2%,11.6%,,
5814-1,C$26.99,C$132.26,390.1%,10.6%,,
5815-1,C$39.99,C$269.99,566.9%,11.9%,,
5816-1,C$69.99,C$269.99,300.1%,9.6%,,
5817-1,C$19.99,C$46.66,130.6%,10.1%,,
5818-1,C$24.99,C$67.34,149.5%,7.6%,,
5819-1,C$39.99,C$152.04,275.5%,9.0%,,
5820-1,C$26.99,C$30.52,13.1%,,,
5821-1,C$16.19,C$14.57,,,,
5822-1,C$13.49,C$16.78,24.4%,,,
5823-1,C$8.09,C$37.53,364.1%,8.0%,,
5824-1,C$10.79,C$67.50,525.8%,4.7%,,
5825-1,C$17.54,C$66.15,277.2%,6.9%,,
5826-1,C$22.94,C$89.75,291.3%,6.9%,,
5827-1,C$36.44,C$254.11,597.4%,10.2%,,
5828-1,C$49.99,C$125.82,133.1%,6.7%,,
5829-1,C$64.99,C$273.40,305.1%,11.7%,,
5830-1,C$14.84,C$39.74,167.9%,4.0%,,
5831-1,C$6.74,C$31.75,371.3%,8.5%,,
5832-1,C$12.14,C$45.66,276.2%,7.2%,,
5833-1,C$22.94,C$134.99,488.5%,5.8%,,
5834-1,C$56.69,C$122.57,116.2%,4.1%,,
5835-1,C$22.94,C$666.00,2803.6%,15.1%,,
5836-1,C$5.39,C$79.46,1375.2%,12.0%,,
5837-1,C$9.44,C$113.35,1101.1%,14.8%,,
5838-1,C$13.49,C$115.86,759.1%,7.2%,,
5839-1,C$49.99,C$175.46,225.0%,11.5%,,
5840-1,C$26.66,C$55.85,109.5%,3.0%,,
5841-1,C$12.14,C$37.99,213.0%,5.3%,,
5842-1,C$22.94,C$121.43,429.4%,5.3%,,
5843-1,C$36.44,C$175.49,381.6%,9.1%,,
5844-1,C$6.74,C$27.46,307.6%,6.6%,,
5845-1,C$14.84,C$78.98,432.3%,7.9%,,
5846-1,C$33.74,C$96.34,185.6%,4.9%,,
5847-1,C$47.24,C$184.87,291.4%,6.4%,,
5848-1,C$59.40,C$206.81,248.2%,5.8%,,
5850-1,C$67.49,C$664.08,884.0%,9.1%,,
585-1,C$26.99,C$758.74,2711.6%,7.7%,,
5853-1,C$13.49,C$23.40,73.5%,2.4%,,
5854-1,C$33.74,C$145.77,332.1%,6.6%,,
5855-1,C$53.99,C$197.51,265.8%,5.8%,,
5856-1,C$12.14,C$40.30,232.0%,6.9%,,
5857-1,C$26.99,C$81.00,200.2%,3.4%,,
5858-1,C$74.24,C$109.70,47.8%,2.3%,,
5859-1,C$12.14,C$46.85,286.0%,8.3%,,
5860-1,C$33.74,C$113.29,235.8%,4.8%,,
5861-1,C$37.79,C$87.75,132.2%,5.1%,,
5862-1,C$64.80,C$136.34,110.4%,4.5%,,
5864-1,C$6.99,C$13.91,72.0%,5.9%,,
5865-1,C$6.99,C$12.34,52.6%,4.4%,,
5866-1,C$17.99,C$25.22,43.8%,3.4%,,
5867-1,C$26.99,C$58.66,117.4%,4.9%,,
5868-1,C$39.99,C$135.23,234.0%,10.1%,,
5870-1,C$56.69,C$79.00,39.4%,2.8%,,
5871-1,C$67.49,C$180.66,167.7%,5.6%,,
5872-1,,C$10.46,,3.5%,,
5873-1,,C$8.41,,5.1%,,
5874-1,C$26.99,C$167.36,520.2%,8.3%,,
5875-1,C$40.49,C$154.08,280.6%,5.7%,,
5876-1,C$40.49,C$140.06,245.9%,5.3%,,
5877-1,C$40.49,C$92.81,129.2%,5.3%,,
5880-1,C$72.90,C$265.15,263.7%,5.1%,,
588-1,C$46.58,C$627.75,1247.8%,16.6%,,
5882-1,C$14.99,C$48.63,200.4%,7.9%,,
5883-1,C$24.99,C$60.12,122.8%,4.8%,,
5884-1,C$39.99,C$99.90,146.7%,6.2%,,
5885-1,C$64.99,C$202.82,200.5%,8.4%,,
5886-1,C$89.99,C$181.08,91.6%,4.4%,,
5887-1,C$129.99,C$477.45,253.7%,9.3%,,
5888-1,C$44.99,C$131.90,179.2%,13.6%,,
5890-1,C$133.65,C$404.16,202.4%,4.4%,,
5891-1,C$59.99,C$141.21,132.5%,10.7%,,
5892-1,C$79.99,C$164.58,103.2%,6.2%,,
5893-1,C$119.99,C$162.14,33.5%,3.2%,,
5895-1,C$134.99,C$147.50,9.3%,,,
5898-1,C$12.99,C$51.23,279.9%,7.3%,,
5899-1,C$12.99,C$27.59,104.6%,4.9%,,
5900-1,C$5.74,C$15.67,173.2%,8.9%,,
590-1,C$20.24,"C$1,740.26",8499.6%,11.2%,,
5901-1,C$6.06,C$33.62,454.6%,4.9%,,
5902-1,C$6.06,C$33.62,454.6%,5.3%,,
5903-1,C$2.69,C$59.62,2119.1%,14.4%,,
5904-1,C$2.69,C$24.69,819.1%,8.1%,,
5905-1,C$2.69,C$44.42,1553.3%,8.3%,,
5906-1,C$4.04,C$98.67,2344.5%,10.3%,,
5909-1,C$5.06,C$208.13,4011.2%,8.2%,,
5911-1,C$4.04,C$23.87,491.3%,9.2%,,
5912-1,C$4.04,C$22.82,465.2%,9.1%,,
5913-1,C$4.04,C$33.68,734.4%,7.7%,,
5914-1,C$4.04,C$41.50,928.1%,7.1%,,
5918-1,C$5.39,C$62.15,1053.9%,5.9%,,
5919-1,C$26.99,C$410.00,1419.3%,13.2%,,
5920-1,C$8.09,C$58.85,627.7%,8.7%,,
5921-1,C$8.09,C$36.67,353.4%,6.7%,,
5923-1,C$13.49,C$202.68,1402.8%,16.3%,,
5924-1,C$13.49,C$193.51,1334.8%,16.0%,,
5925-1,C$8.09,C$64.11,692.8%,6.9%,,
5927-1,C$13.49,C$87.02,545.2%,10.9%,,
5928-1,C$8.09,C$95.94,1086.5%,11.2%,,
5929-1,C$12.99,C$57.33,325.1%,10.2%,,
5930-1,C$12.99,C$39.29,191.3%,5.4%,,
5931-1,C$17.99,C$92.29,356.0%,12.2%,,
5932-1,C$17.99,C$50.79,151.0%,5.1%,,
5933-1,C$24.99,C$49.94,85.0%,7.2%,,
5934-1,C$20.24,C$120.74,496.7%,10.7%,,
5935-1,C$26.99,C$80.35,197.7%,3.1%,,
5936-1,C$16.19,C$134.76,732.5%,10.6%,,
5938-1,C$10.79,C$133.50,1137.7%,11.6%,,
5940-1,C$80.99,C$255.53,215.5%,9.7%,,
5941-1,C$63.45,C$148.20,133.6%,5.7%,,
5942-1,C$31.04,C$161.99,421.9%,6.6%,,
5943-1,C$13.49,C$80.81,499.2%,11.8%,,
5944-1,C$8.09,C$44.58,451.3%,6.7%,,
5945-1,C$12.99,C$146.87,989.0%,21.1%,,
5946-1,C$24.99,C$64.27,138.2%,10.0%,,
5947-1,C$39.99,C$220.19,443.8%,11.0%,,
5948-1,C$26.99,C$208.13,671.2%,9.7%,,
5950-1,C$4.04,C$58.39,1346.5%,8.2%,,
5951-1,C$4.04,C$18.04,346.8%,8.2%,,
5952-1,C$4.04,C$17.91,343.8%,8.2%,,
5953-1,C$4.04,C$25.12,522.4%,6.3%,,
5955-1,C$40.49,C$166.19,310.5%,6.1%,,
5956-1,C$26.99,C$446.66,1555.1%,10.5%,,
5958-1,C$40.49,C$220.50,444.6%,11.6%,,
5960-1,C$94.49,C$404.99,328.6%,6.7%,,
5961-1,C$26.99,C$129.11,378.4%,7.7%,,
